"Palavra";"frequency.sim";"top";"frequency.nao";"top_nao";"destaque_top";"diff";"destaque";"top_sim";"top_nao1";"TopSim";"TopNao"
"direito";7;278;12;79;TRUE;-199;TRUE;0,050540928350422;-0,0241062108559499;0,050540928350422;-0,0241062108559499
"querem";6;338;13;74;TRUE;-264;TRUE;0,0745070807690062;-0,0294069676409186;0,0745070807690062;-0,0294069676409186
"temer";6;347;23;41;TRUE;-306;TRUE;0,0781020036317939;-0,0643919624217119;0,0781020036317939;-0,0643919624217119
"trabalhadores";6;348;26;35;TRUE;-313;TRUE;0,0785014395054369;-0,0707528705636743;0,0785014395054369;-0,0707528705636743
"michel";3;624;13;71;TRUE;-553;TRUE;0,188745740630924;-0,0325874217118998;0,188745740630924;-0,0325874217118998
"direitos";2;821;10;92;TRUE;-729;TRUE;0,267434607738609;-0,0103242432150313;0,267434607738609;-0,0103242432150313
"farsa";1;1746;10;93;TRUE;-1653;TRUE;0,636912790858449;-0,00926409185803758;0,636912790858449;-0,00926409185803758
"golpistas";1;1836;10;94;TRUE;-1742;TRUE;0,672862019486326;-0,00820394050104384;0,672862019486326;-0,00820394050104384
"popular";1;2287;12;82;TRUE;-2205;TRUE;0,85300759849935;-0,0209257567849687;0,85300759849935;-0,0209257567849687
"tribunal";1;2655;10;99;TRUE;-2556;TRUE;1;-0,00290318371607515;1;-0,00290318371607515
