"","nome","partido","uf","dim1","dim2"
"129","Danilo Forte","pmdb","CE",0.141071251638254,-0.160474305901851
"130","Danilo Forte","psb","CE",0.00343591613752365,0.00792879949483279
"131","Danrlei de Deus Hinterholz","psd","RS",-0.0427429253916207,-0.229510443857949
"132","Darcísio Perondi","pmdb","RS",-0.119846371658697,-0.0861825264913919
"133","Davidson Magalhães","pcdob","BA",-0.610948729107644,0.535608213637137
"134","Décio Lima","pt","SC",-0.519887780775546,0.26830837751394
"135","Delegado Éder Mauro","psd","PA",-0.112211341431747,-0.214320433584076
"136","Delegado Edson Moreira","ptn","MG",-0.285988271394982,-0.236491777923904
"137","Delegado Waldir","psdb","GO",0.654511807719826,0.00700902010099097
"138","Deley","psc","RJ",0.000250640245200134,0.00559407556171649
"139","Deley","ptb","RJ",0.210995157469727,0.180064356357196
"140","Diego Andrade","psd","MG",-0.114260015359938,-0.216958096061508
"141","Diego Garcia","phs","PR",-0.19752799760938,-0.166734735318433
"142","Dilceu Sperafico","pp","PR",-0.070039073672458,-0.388978385339319
"143","Dimas Fabiano","pp","MG",0.401247512352695,-0.149545091657703
"144","Domingos Neto","pros","CE",-0.252290165097995,-0.150785148782311
"145","Domingos Sávio","psdb","MG",0.638899271886025,0.0241453237669812
"146","Dr. João","pr","RJ",-0.155373073526688,-0.301241637868741
"147","Dr. Jorge Silva","pdt","ES",-0.000106939837952041,-0.00238680557299903
"148","Dr. Jorge Silva","pros","ES",-0.319237491152487,0.0918849485344299
"149","Dr. Sinval Malheiros","pv","SP",0.20368485684991,0.17184097457104
"150","Dulce Miranda","pmdb","TO",-0.13350212418975,-0.264993204155794
"151","Edinho Araújo","pmdb","SP",-0.0788551742636656,-0.0318710599103238
"152","Edinho Bez","pmdb","SC",-0.167107257571828,-0.356218959048595
"153","Edio Lopes","pmdb","RR",-0.243230117931348,-0.391417898420217
"154","Edmar Arruda","psc","PR",0.0590215174061749,-0.120239914412177
"155","Edmilson Rodrigues","psol","PA",0.0881936565918089,0.999438126342147
"156","Eduardo Barbosa","psdb","MG",0.678518515421664,0.161538918011819
"157","Eduardo Bolsonaro","psc","SP",0.726684651663311,0.0258950656053635
"158","Eduardo Cunha","pmdb","rj",-0.300356244096425,-0.472626673691037
"159","Eduardo Cury","psdb","SP",0.73323756463358,0.0601979871440008
"160","Eduardo da Fonte","pp","PE",-0.0872728437898387,-0.188119057765051
"161","Efraim Filho","dem","PB",0.548741903530684,-0.0163718374012861
"162","Elcione Barbalho","pmdb","PA",-0.235937374067436,-0.0865963440859742
"163","Eli Correa Filho","dem","SP",0.055087751960713,-0.0133064949381104
"164","Eli Corrêa Filho","dem","SP",0.182735890267662,-0.0971533073292487
"165","Elizeu Dionizio","s.part.","MS",0.225760230973893,-0.177151795129678
"166","Eliziane Gama","s.part.","MA",0.433859657423807,0.49448029618331
"167","Elmar Nascimento","dem","BA",0.553556193046591,-0.0415449811614036
"168","Enio Verri","pt","PR",-0.687752968047715,0.230331942058289
"169","Erika Kokay","pt","DF",-0.609034875460576,0.572245698491573
"170","Erivelton Santana","psc","BA",0.381997290809642,-0.0484954862059156
"171","Eros Biondini","ptb","MG",0.0630399626133843,-0.0477668977466718
"172","Esperidião Amin","pp","SC",0.530327701040991,0.180428001526951
"173","Evair de Melo","pv","ES",0.305770495806189,-0.0447235731746031
"174","Evandro Gussi","pv","SP",0.352949349231284,0.22022087492536
"175","Evandro Roman","psd","PR",-0.0284628498191315,-0.236940359216759
"176","Expedito Netto","solidaried","RO",0.510788895120115,0.0726403965114591
"177","Ezequiel Fonseca","pp","MT",-0.0351864788698506,-0.235939445466865
"178","Ezequiel Teixeira","solidaried","RJ",0.528804360583734,-0.0319127666985446
"179","Fabiano Horta","pt","RJ",-0.279417214067001,0.0930017218860791
"180","Fábio Faria","psd","RN",-0.0927555854378032,-0.213057285113087
"181","Fabio Garcia","psb","MT",0.340621635881735,-0.00336234852616933
"182","Fábio Mitidieri","psd","SE",-0.0638829421278427,-0.166002789655855
"183","Fábio Ramalho","pv","MG",-0.247314362082523,-0.137463687740576
"184","Fabio Reis","pmdb","SE",-0.0237871273998841,-0.335364310386921
"185","Fábio Sousa","psdb","GO",0.719955714880598,0.0506557639050799
"186","Fabricio Oliveira","psb","SC",0.104428529301266,0.0137017703080546
"187","Fausto Pinato","prb","SP",-0.228941511663877,-0.151584860986994
"188","Felipe Bornier","psd","RJ",0.151872041420589,-0.168121787258747
"189","Felipe Maia","dem","RN",0.628831385922227,-0.0132014029933535
"190","Félix Mendonça Júnior","pdt","BA",-0.0404831905465859,0.0428166115882928
"191","Fernando Coelho Filho","psb","PE",0.224206301313555,0.0872927183836551
"192","Fernando Francischini","s.part.","PR",0.25905912823369,0.0061664757225624
"193","Fernando Jordão","pmdb","RJ",-0.0780970879405467,-0.312704925915229
"194","Fernando Marroni","pt","RS",-0.610454172021425,0.293961700528642
"195","Fernando Monteiro","pp","PE",-0.176053437285131,-0.363796378450167
"196","Fernando Torres","psd","BA",-0.267797402175502,-0.0876128293456494
"197","Flávia Morais","pdt","GO",-0.163034117577589,0.234561506859342
"198","Flaviano Melo","pmdb","AC",-0.10230408591351,-0.293191248592943
"199","Flavinho","psb","SP",0.516318671631801,0.436306516893435
"200","Francisco Chapadinha","psd","PA",-0.06523782762364,-0.191850306403375
"201","Francisco Floriano","pr","RJ",-0.0978252692741362,-0.214960046599273
"202","Gabriel Guimarães","pt","MG",-0.487720371754039,0.189064843779601
"203","Genecias Noronha","s.part.","CE",0.244004771349089,-0.0995737398340492
"204","Geovania de Sá","psdb","SC",0.670221349158556,0.128731918310136
"205","Geraldo Resende","pmdb","MS",-0.0964881190986382,-0.268998902160052
"206","Giacobo","pr","PR",-0.0735108902415949,-0.183795637981923
"207","Gilberto Nascimento","psc","SP",0.56632165961389,0.0816982383446032
"208","Giovani Cherini","pdt","RS",-0.126849946777939,-0.0462977215735611
"209","Giuseppe Vecci","psdb","GO",0.722978219293879,0.0225479613697446
"210","Givaldo Carimbão","s.part.","AL",-0.317835758360975,-0.0586298149315274
