Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Aliel Machado,PCdoB     ,PR,Sim            ,178927,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Francisco Chapadinha,PSD       ,PA,Abstenção      ,178907,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Leonardo Picciani,PMDB      ,RJ,Sim            ,74254,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Sérgio Moraes,PTB       ,RS,Não            ,141542,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Daniel Almeida,PCdoB     ,BA,Sim            ,74060,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Esperidião Amin,PP        ,SC,Sim            ,160649,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Cristiane Brasil,PTB       ,RJ,Sim            ,93472,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Enio Verri,PT        ,PR,Sim            ,132504,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Delegado Waldir,PSDB      ,GO,Não            ,164359,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Helder Salomão,PT        ,ES,Sim            ,178873,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Antonio Balhmann,PROS      ,CE,Não            ,74213,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Nelson Marquezelli,PTB       ,SP,Sim            ,73553,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,José Reinaldo,PSB       ,MA,Não            ,73714,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Valmir Prascidelli,PT        ,SP,Sim            ,113247,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Jovair Arantes,PTB       ,GO,Sim            ,73666,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Rodrigo de Castro,PSDB      ,MG,Não            ,141531,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Márcio Marinho,PRB       ,BA,Sim            ,150418,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Cleber Verde,PRB       ,MA,Sim            ,141408,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Carlos Andrade,PHS       ,RR,Sim            ,178958,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Paulo Foletto,PSB       ,ES,Não            ,160517,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Nilton Capixaba,PTB       ,RO,Sim            ,74359,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Rejane Dias,PT        ,PI,Sim            ,178925,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,João Campos,PSDB      ,GO,Não            ,74366,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Rogério Marinho,PSDB      ,RN,Não            ,141535,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Aureo,Solidaried,RJ,Não            ,160512,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Leonardo Quintão,PMDB      ,MG,Sim            ,141482,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Mário Heringer,PDT       ,MG,Sim            ,74158,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Alice Portugal,PCdoB     ,BA,Sim            ,74057,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Marcos Rogério,PDT       ,RO,Sim            ,167722,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Alberto Fraga,DEM       ,DF,Não            ,73579,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Celso Pansera,PMDB      ,RJ,Sim            ,72912,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Wladimir Costa,Solidaried,PA,Não            ,73930,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,José Mentor,PT        ,SP,Sim            ,74275,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Marinaldo Rosendo,PSB       ,PE,Sim            ,178919,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Samuel Moreira,PSDB      ,SP,Não            ,178990,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Rodrigo Garcia,DEM       ,SP,Não            ,88950,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Andres Sanchez,PT        ,SP,Sim            ,178974,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Max Filho,PSDB      ,ES,Não            ,178827,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Laudivio Carvalho,PMDB      ,MG,Sim            ,178894,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Arnaldo Faria de Sá,PTB       ,SP,Não            ,73434,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Ronaldo Fonseca,PROS      ,DF,Sim            ,160637,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Shéridan,PSDB      ,RR,Não            ,178961,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Flavinho,PSB       ,SP,Não            ,178978,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,José Priante,PMDB      ,PA,Sim            ,74079,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Delegado Éder Mauro,PSD       ,PA,Sim            ,178908,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Leopoldo Meyer,PSB       ,PR,Não            ,160663,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Jorge Boeira,PP        ,SC,Não            ,74388,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,José Airton Cirilo,PT        ,CE,Sim            ,141464,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Joaquim Passarinho,PSD       ,PA,Sim            ,178910,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Professora Marcivania,PT        ,AP,Sim            ,160641,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Zé Silva,Solidaried,MG,Não            ,160632,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Leo de Brito,PT        ,AC,Sim            ,178825,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Edmar Arruda,PSC       ,PR,Não            ,160578,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Manoel Junior,PMDB      ,PB,Sim            ,141490,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Evandro Rogerio Roman,PSD       ,PR,Sim            ,178930,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Zé Geraldo,PT        ,PA,Sim            ,73931,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Milton Monti,PR        ,SP,Sim            ,74787,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Luiz Carlos Ramos,PSDC      ,RJ,Não            ,178802,-,-
