Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Sérgio Moraes,PTB       ,RS,Sim            ,141542,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Daniel Almeida,PCdoB     ,BA,Sim            ,74060,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Esperidião Amin,PP        ,SC,Sim            ,160649,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Enio Verri,PT        ,PR,Sim            ,132504,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Helder Salomão,PT        ,ES,Sim            ,178873,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Nelson Marquezelli,PTB       ,SP,Sim            ,73553,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,José Reinaldo,PSB       ,MA,Sim            ,73714,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Ricardo Barros,PP        ,PR,Sim            ,73788,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Assis Carvalho,PT        ,PI,Sim            ,159237,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Miguel Haddad,PSDB      ,SP,Sim            ,178984,-,-
