Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Leopoldo Meyer,PSB       ,PR,Sim            ,160663,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Joaquim Passarinho,PSD       ,PA,Sim            ,178910,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Professora Marcivania,PT        ,AP,Não            ,160641,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Zé Silva,Solidaried,MG,Sim            ,160632,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Leo de Brito,PT        ,AC,Não            ,178825,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Victor Mendes,PV        ,MA,Sim            ,178888,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Sarney Filho,PV        ,MA,Sim            ,74210,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Geraldo Resende,PMDB      ,MS,Sim            ,74374,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Herculano Passos,PSD       ,SP,Sim            ,178981,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Gilberto Nascimento,PSC       ,SP,Não            ,74270,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Eduardo da Fonte,PP        ,PE,Não            ,141421,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Efraim Filho,DEM       ,PB,Sim            ,141422,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Luiz Sérgio,PT        ,RJ,Não            ,74688,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Luiz Carlos Ramos,PSDC      ,RJ,Sim            ,178802,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Covatti Filho,PP        ,RS,Não            ,178963,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,César Halum,PRB       ,TO,Não            ,160576,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Josi Nunes,PMDB      ,TO,Sim            ,114941,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Eduardo Cury,PSDB      ,SP,Sim            ,178977,-,-
