Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Felipe Maia,DEM       ,RN,Sim            ,141429,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,João Marcelo,PMDB      ,MA,Sim            ,112437,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Remídio Monai,PR        ,RR,Sim            ,178960,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Roberto Góes,PDT       ,AP,Sim            ,178995,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Aliel Machado,PCdoB     ,PR,Sim            ,178927,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Francisco Chapadinha,PSD       ,PA,Sim            ,178907,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Leonardo Picciani,PMDB      ,RJ,Sim            ,74254,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Sérgio Moraes,PTB       ,RS,Sim            ,141542,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Jhonatan de Jesus,PRB       ,RR,Sim            ,160531,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Hugo Motta,PMDB      ,PB,Sim            ,160674,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Vicente Candido,PT        ,SP,Sim            ,160622,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Daniel Almeida,PCdoB     ,BA,Sim            ,74060,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Esperidião Amin,PP        ,SC,Sim            ,160649,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Enio Verri,PT        ,PR,Não            ,132504,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Delegado Waldir,PSDB      ,GO,Sim            ,164359,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Helder Salomão,PT        ,ES,Sim            ,178873,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,José Reinaldo,PSB       ,MA,Sim            ,73714,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Ricardo Barros,PP        ,PR,Sim            ,73788,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Assis Carvalho,PT        ,PI,Sim            ,159237,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Miguel Haddad,PSDB      ,SP,Sim            ,178984,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Jovair Arantes,PTB       ,GO,Sim            ,73666,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Márcio Marinho,PRB       ,BA,Sim            ,150418,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Cleber Verde,PRB       ,MA,Sim            ,141408,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Carlos Andrade,PHS       ,RR,Sim            ,178958,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Paulo Foletto,PSB       ,ES,Sim            ,160517,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Fabio Garcia,PSB       ,MT,Sim            ,178905,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,João Campos,PSDB      ,GO,Sim            ,74366,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Rogério Marinho,PSDB      ,RN,Sim            ,141535,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Aureo,Solidaried,RJ,Sim            ,160512,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Jaime Martins,PSD       ,MG,Sim            ,74665,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Alice Portugal,PCdoB     ,BA,Sim            ,74057,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Marcos Rogério,PDT       ,RO,Sim            ,167722,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Alberto Fraga,DEM       ,DF,Sim            ,73579,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Celso Pansera,PMDB      ,RJ,Sim            ,72912,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Marinaldo Rosendo,PSB       ,PE,Sim            ,178919,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Samuel Moreira,PSDB      ,SP,Sim            ,178990,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Ricardo Izar,PSD       ,SP,Sim            ,160655,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Andres Sanchez,PT        ,SP,Sim            ,178974,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Vinicius Gurgel,PR        ,AP,Sim            ,160591,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Max Filho,PSDB      ,ES,Sim            ,178827,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Laudivio Carvalho,PMDB      ,MG,Sim            ,178894,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Caetano,PT        ,BA,Sim            ,178853,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Ronaldo Fonseca,PROS      ,DF,Não            ,160637,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Shéridan,PSDB      ,RR,Obstrução      ,178961,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Flavinho,PSB       ,SP,Sim            ,178978,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,José Priante,PMDB      ,PA,Sim            ,74079,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Vicentinho,PT        ,SP,Sim            ,74283,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Delegado Éder Mauro,PSD       ,PA,Sim            ,178908,-,-
