Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Max Filho,PSDB      ,ES,Não            ,178827,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Laudivio Carvalho,PMDB      ,MG,Sim            ,178894,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Arnaldo Faria de Sá,PTB       ,SP,Sim            ,73434,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Shéridan,PSDB      ,RR,Não            ,178961,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Giovani Feltes,PMDB      ,RS,Não            ,178996,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Cesar Souza,PSD       ,SC,Não            ,73720,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Flavinho,PSB       ,SP,Não            ,178978,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Aníbal Gomes,PMDB      ,CE,Não            ,74212,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Delegado Éder Mauro,PSD       ,PA,Não            ,178908,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Leopoldo Meyer,PSB       ,PR,Não            ,160663,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Jorge Boeira,PP        ,SC,Não            ,74388,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,José Airton,PT        ,CE,Obstrução      ,141464,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Joaquim Passarinho,PSD       ,PA,Não            ,178910,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Professora Marcivania,PT        ,AP,Obstrução      ,160641,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Zé Silva,Solidaried,MG,Não            ,160632,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Victor Mendes,PV        ,MA,Não            ,178888,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Edmar Arruda,PSC       ,PR,Não            ,160578,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Geraldo Resende,PMDB      ,MS,Não            ,74374,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Herculano Passos,PSD       ,SP,Não            ,178981,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Pedro Paulo,PMDB      ,RJ,Não            ,122158,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Evandro Rogerio Roman,PSD       ,PR,Não            ,178930,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Eduardo da Fonte,PP        ,PE,Não            ,141421,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Efraim Filho,DEM       ,PB,Sim            ,141422,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Covatti Filho,PP        ,RS,Não            ,178963,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Izalci,PSDB      ,DF,Não            ,4931,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Henrique Fontana,PT        ,RS,Obstrução      ,73482,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Josi Nunes,PMDB      ,TO,Não            ,114941,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Eduardo Cury,PSDB      ,SP,Não            ,178977,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Christiane de Souza Yared,PTN       ,PR,Obstrução      ,178928,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Luciana Santos,PCdoB     ,PE,Obstrução      ,160628,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Eduardo Cunha,PMDB      ,RJ,Art. 17        ,74173,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Bacelar,PTN       ,BA,Obstrução      ,69871,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Marcos Montes,PSD       ,MG,Não            ,141500,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Pedro Cunha Lima,PSDB      ,PB,Não            ,178912,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Geovania de Sá,PSDB      ,SC,Não            ,178966,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Angelim,PT        ,AC,Abstenção      ,178837,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Caio Narcio,PSDB      ,MG,Não            ,178891,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Nelson Meurer,PP        ,PR,Não            ,73781,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Betinho Gomes,PSDB      ,PE,Não            ,178915,-,-
