Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Ronaldo Fonseca,PROS      ,DF,Sim            ,160637,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Washington Reis,PMDB      ,RJ,Sim            ,160620,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Cesar Souza,PSD       ,SC,Sim            ,73720,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Flavinho,PSB       ,SP,Sim            ,178978,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Reginaldo Lopes,PT        ,MG,Sim            ,74161,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,José Priante,PMDB      ,PA,Sim            ,74079,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Aníbal Gomes,PMDB      ,CE,Sim            ,74212,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Delegado Éder Mauro,PSD       ,PA,Sim            ,178908,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Leopoldo Meyer,PSB       ,PR,Sim            ,160663,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Jorge Boeira,PP        ,SC,Sim            ,74388,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,José Airton Cirilo,PT        ,CE,Sim            ,141464,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Joaquim Passarinho,PSD       ,PA,Sim            ,178910,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Professora Marcivania,PT        ,AP,Sim            ,160641,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Zé Silva,Solidaried,MG,Sim            ,160632,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Leo de Brito,PT        ,AC,Sim            ,178825,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Victor Mendes,PV        ,MA,Sim            ,178888,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Edmar Arruda,PSC       ,PR,Sim            ,160578,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Manoel Junior,PMDB      ,PB,Sim            ,141490,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Sarney Filho,PV        ,MA,Sim            ,74210,-,-
