Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Jarbas Vasconcelos,PMDB      ,PE,Sim            ,131943,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Irmão Lazaro,PSC       ,BA,Sim            ,178855,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Elcione Barbalho,PMDB      ,PA,Sim            ,74075,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Alan Rick,PRB       ,AC,Sim            ,178836,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Odelmo Leão,PP        ,MG,Sim            ,74752,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Marcos Soares,PR        ,RJ,Sim            ,178943,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Alessandro Molon,PT        ,RJ,Não            ,160511,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Felipe Maia,DEM       ,RN,Sim            ,141429,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,João Marcelo Souza,PMDB      ,MA,Sim            ,112437,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Vanderlei Macris,PSDB      ,SP,Sim            ,141553,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Remídio Monai,PR        ,RR,Sim            ,178960,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Aliel Machado,PCdoB     ,PR,Não            ,178927,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Francisco Chapadinha,PSD       ,PA,Sim            ,178907,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Fausto Pinato,PRB       ,SP,Não            ,66828,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Leonardo Picciani,PMDB      ,RJ,Sim            ,74254,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Sérgio Moraes,PTB       ,RS,Sim            ,141542,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Jhonatan de Jesus,PRB       ,RR,Não            ,160531,-,-
