partido,nome_votacao,orientacao_partido
prp,Cota para mulheres legislativo,liberado
psdc,Cota para mulheres legislativo,liberado
prtb,Cota para mulheres legislativo,liberado
ptc,Cota para mulheres legislativo,liberado
psl,Cota para mulheres legislativo,liberado
avante,Cota para mulheres legislativo,liberado
psd,Cota para mulheres legislativo,sim
pr,Cota para mulheres legislativo,sim
psb,Cota para mulheres legislativo,liberado
dem,Cota para mulheres legislativo,liberado
pdt,Cota para mulheres legislativo,sim
solidaried,Cota para mulheres legislativo,liberado
pcdob,Cota para mulheres legislativo,sim
pros,Cota para mulheres legislativo,liberado
pps,Cota para mulheres legislativo,sim
pv,Cota para mulheres legislativo,sim
psol,Cota para mulheres legislativo,sim
mdb,Voto impresso,sim
progressistas,Voto impresso,sim
ptb,Voto impresso,sim
psc,Voto impresso,sim
phs,Voto impresso,sim
patriotas,Voto impresso,sim
pt,Voto impresso,sim
psdb,Voto impresso,sim
prb,Voto impresso,sim
podemos,Voto impresso,sim
pmn,Voto impresso,sim
prp,Voto impresso,sim
psdc,Voto impresso,sim
prtb,Voto impresso,sim
ptc,Voto impresso,sim
psl,Voto impresso,sim
avante,Voto impresso,sim
psd,Voto impresso,sim
pr,Voto impresso,sim
psb,Voto impresso,sim
dem,Voto impresso,sim
pdt,Voto impresso,sim
solidaried,Voto impresso,sim
pcdob,Voto impresso,sim
pros,Voto impresso,sim
pps,Voto impresso,sim
pv,Voto impresso,sim
psol,Voto impresso,sim
mdb,Seguro Desemprego,sim
progressistas,Seguro Desemprego,sim
ptb,Seguro Desemprego,sim
psc,Seguro Desemprego,sim
phs,Seguro Desemprego,sim
patriotas,Seguro Desemprego,sim
pt,Seguro Desemprego,sim
psdb,Seguro Desemprego,não
prb,Seguro Desemprego,sim
podemos,Seguro Desemprego,sim
pmn,Seguro Desemprego,sim
prp,Seguro Desemprego,sim
psdc,Seguro Desemprego,sim
prtb,Seguro Desemprego,sim
ptc,Seguro Desemprego,sim
psl,Seguro Desemprego,sim
avante,Seguro Desemprego,sim
psd,Seguro Desemprego,sim
pr,Seguro Desemprego,sim
psb,Seguro Desemprego,não
dem,Seguro Desemprego,não
pdt,Seguro Desemprego,não
solidaried,Seguro Desemprego,não
pcdob,Seguro Desemprego,sim
pros,Seguro Desemprego,sim
pps,Seguro Desemprego,não
pv,Seguro Desemprego,liberado
psol,Seguro Desemprego,não
mdb,Tributação serviços de internet,sim
progressistas,Tributação serviços de internet,sim
ptb,Tributação serviços de internet,sim
psc,Tributação serviços de internet,sim
phs,Tributação serviços de internet,sim
patriotas,Tributação serviços de internet,sim
pt,Tributação serviços de internet,sim
psdb,Tributação serviços de internet,sim
prb,Tributação serviços de internet,sim
podemos,Tributação serviços de internet,sim
pmn,Tributação serviços de internet,sim
prp,Tributação serviços de internet,sim
psdc,Tributação serviços de internet,sim
prtb,Tributação serviços de internet,sim
ptc,Tributação serviços de internet,sim
psl,Tributação serviços de internet,sim
avante,Tributação serviços de internet,sim
pr,Tributação serviços de internet,sim
psd,Tributação serviços de internet,sim
psb,Tributação serviços de internet,sim
dem,Tributação serviços de internet,sim
pdt,Tributação serviços de internet,não
solidaried,Tributação serviços de internet,sim
pcdob,Tributação serviços de internet,não
pros,Tributação serviços de internet,liberado
pps,Tributação serviços de internet,liberado
