id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer,Prosseguimento da 2ª denúncia contra Temer
160599,Dimas Fabiano,progressistas,MG,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
141421,Eduardo da Fonte,progressistas,PE,-1,0,1,-1,-1,-1,1,0,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,0,0
160649,Esperidião Amin,progressistas,SC,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,-1,0,1,1,1,1
178904,Ezequiel Fonseca,progressistas,MT,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
66828,Fausto Pinato,progressistas,SP,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,-1,0,1,1,0,0
92699,Fernando Monteiro,progressistas,PE,1,1,-1,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,0,0
186775,Franklin Lima,progressistas,MG,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,-1,1,0,0
160667,Guilherme Mussi,progressistas,SP,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,0,0
178959,Hiran Gonçalves,progressistas,RR,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,-1,0,0,1,0,0
67138,Iracema Portella,progressistas,PI,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0
160570,Jerônimo Goergen,progressistas,RS,1,-1,1,0,1,1,1,1,1,1,0,1,0,-1,1,1,1,1,0,-1,1,1,1,1
74388,Jorge Boeira,progressistas,SC,-1,0,-1,0,0,0,-1,0,1,1,0,1,0,0,0,0,-1,1,-1,1,-1,1,1,1
74395,José Otávio Germano,progressistas,RS,1,-1,1,1,0,-1,1,-1,1,1,0,-1,0,-1,1,-1,0,1,-1,-1,1,1,0,0
74253,Julio Lopes,progressistas,RJ,1,0,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,1,1,0,0
