id,idLegislatura,nome,siglaPartido,siglaUf,uri,uriPartido,urlFoto
160598,55,FLÁVIA MORAIS,pdt,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/160598,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/160598.jpg
191923,55,FLAVIO NOGUEIRA,pdt,PI,https://dadosabertos.camara.leg.br/api/v2/deputados/191923,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/191923.jpg
178849,55,HISSA ABRAHÃO,pdt,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/178849,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/178849.jpg
141474,55,JULIÃO AMIN,pdt,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/141474,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/141474.jpg
74299,55,LEÔNIDAS CRISTINO,pdt,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/74299,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/74299.jpg
74158,55,MÁRIO HERINGER,pdt,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/74158,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/74158.jpg
178987,55,ORLANDO SILVA,pcdob,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178987,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,http://www.camara.leg.br/internet/deputado/bandep/178987.jpg
73486,55,POMPEO DE MATTOS,pdt,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/73486,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/73486.jpg
160641,55,PROFESSORA MARCIVANIA,pcdob,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/160641,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,http://www.camara.leg.br/internet/deputado/bandep/160641.jpg
178887,55,RUBENS PEREIRA JÚNIOR,pcdob,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/178887,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,http://www.camara.leg.br/internet/deputado/bandep/178887.jpg
137853,55,WADSON RIBEIRO,pcdob,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/137853,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,http://www.camara.leg.br/internet/deputado/bandep/137853.jpg
160582,55,ALBERTO FILHO,pp,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/160582,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,http://www.camara.leg.br/internet/deputado/bandep/160582.jpg
160559,55,ALCEU MOREIRA,pmdb,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/160559,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/160559.jpg
178958,55,CARLOS ANDRADE,phs,RR,https://dadosabertos.camara.leg.br/api/v2/deputados/178958,https://dadosabertos.camara.leg.br/api/v2/partidos/36793,http://www.camara.leg.br/internet/deputado/bandep/178958.jpg
178929,55,DIEGO GARCIA,podemos,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/178929,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,http://www.camara.leg.br/internet/deputado/bandep/178929.jpg
160643,55,DR. JORGE SILVA,solidaried,ES,https://dadosabertos.camara.leg.br/api/v2/deputados/160643,https://dadosabertos.camara.leg.br/api/v2/partidos/36765,http://www.camara.leg.br/internet/deputado/bandep/160643.jpg
99654,55,ERIVELTON SANTANA,pen,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/99654,https://dadosabertos.camara.leg.br/api/v2/partidos/36761,http://www.camara.leg.br/internet/deputado/bandep/99654.jpg
74558,55,GIVALDO CARIMBÃO,avante,AL,https://dadosabertos.camara.leg.br/api/v2/deputados/74558,https://dadosabertos.camara.leg.br/api/v2/partidos/36898,http://www.camara.leg.br/internet/deputado/bandep/74558.jpg
178885,55,JUNIOR MARRECA,pen,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/178885,https://dadosabertos.camara.leg.br/api/v2/partidos/36761,http://www.camara.leg.br/internet/deputado/bandep/178885.jpg
146788,55,MARCELO ARO,phs,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/146788,https://dadosabertos.camara.leg.br/api/v2/partidos/36793,http://www.camara.leg.br/internet/deputado/bandep/146788.jpg
76287,55,MARCELO MATOS,psd,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/76287,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,http://www.camara.leg.br/internet/deputado/bandep/76287.jpg
160642,55,PASTOR EURICO,pen,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/160642,https://dadosabertos.camara.leg.br/api/v2/partidos/36761,http://www.camara.leg.br/internet/deputado/bandep/160642.jpg
178995,55,ROBERTO GÓES,pdt,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/178995,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/178995.jpg
178845,55,RONALDO LESSA,pdt,AL,https://dadosabertos.camara.leg.br/api/v2/deputados/178845,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/178845.jpg
191684,55,ROSÂNGELA CURADO,pdt,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/191684,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/191684.jpg
178874,55,SERGIO VIDIGAL,pdt,ES,https://dadosabertos.camara.leg.br/api/v2/deputados/178874,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/178874.jpg
177282,55,SUBTENENTE GONZAGA,pdt,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/177282,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/177282.jpg
160631,55,WALNEY ROCHA,pen,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/160631,https://dadosabertos.camara.leg.br/api/v2/partidos/36761,http://www.camara.leg.br/internet/deputado/bandep/160631.jpg
160518,55,WELITON PRADO,pros,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/160518,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,http://www.camara.leg.br/internet/deputado/bandep/160518.jpg
