id_dep,nome,voto
178831,Andre Abdon,não
74010,Valdir Colatto,não
160515,Ronaldo Benedet,não
160651,Rogerio Peninha Mendonca,não
141507,Mauro Mariani,não
160536,Marco Tebaldi,não
160571,Joao Rodrigues,não
178967,Joao Paulo Kleinubing,não
73720,Cesar Souza,não
141405,Celso Maldaner,não
73992,Yeda Crusius,não
141542,Sergio Moraes,não
163321,Ronaldo Nogueira,não
141527,Renato Molling,não
124411,Mauro Pereira,não
74395,Jose Otavio Germano,não
131966,Jose Fogaca,não
178963,Covatti Filho,não
194261,Cajar Nardes,não
160559,Alceu Moreira,não
178960,Remidio Monai,não
64960,Maria Helena,não
160531,Jhonatan de Jesus,não
178959,Hiran Goncalves,não
141417,Edio Lopes,não
178957,Abel Mesquita Jr.,não
73891,Darcisio Perondi,não
73692,Osmar Terra,não
178906,Beto Salame,não
74075,Elcione Barbalho,não
178909,Helio Leite,não
73772,Hermes Parcianello,não
74650,Bonifacio de Andrada,não
74366,Joao Campos,não
73553,Nelson Marquezelli,não
160601,Pr. Marco Feliciano,não
62881,Danilo Forte,não
