id_dep,deputado,partido,uf,voto
74457,Moroni Torgan,dem,CE,sim
178997,Moses Rodrigues,pps,CE,sim
160567,Nelson Marchezan Junior,psdb,RS,sim
73553,Nelson Marquezelli,ptb,SP,sim
73781,Nelson Meurer,pp,PR,sim
178896,Newton Cardoso Jr,pmdb,MG,sim
166401,Nilson Leitão,psdb,MT,sim
74352,Nilson Pinto,psdb,PA,sim
74359,Nilton Capixaba,ptb,RO,sim
178986,Nilto Tatto,pt,SP,não
74752,Odelmo Leão,pp,MG,sim
178868,Odorico Monteiro,pt,CE,não
74399,Onyx Lorenzoni,dem,RS,sim
178987,Orlando Silva,pcdob,SP,não
73463,Osmar Serraglio,pmdb,PR,sim
73692,Osmar Terra,pmdb,RS,sim
141515,Otavio Leite,psdb,RJ,sim
160556,Padre João,pt,MG,não
74319,Paes Landim,ptb,PI,não
160642,Pastor Eurico,psb,PE,sim
74095,Pauderney Avelino,dem,AM,sim
171617,Paulão,pt,AL,não
178860,Paulo Azi,dem,BA,sim
74017,Paulo Feijó,pr,RJ,sim
160517,Paulo Foletto,psb,ES,sim
160558,Paulo Freire,pr,SP,sim
74574,Paulo Magalhães,psd,BA,não
132056,Paulo Maluf,pp,SP,sim
141518,Paulo Pereira da Silva,solidaried,SP,sim
74400,Paulo Pimenta,pt,RS,não
141488,Paulo Teixeira,pt,SP,não
74812,Pedro Chaves,pmdb,GO,sim
178912,Pedro Cunha Lima,psdb,PB,sim
74449,Pedro Fernandes,ptb,MA,não
160604,Pedro Uczai,pt,SC,não
178844,Pedro Vilela,psdb,AL,sim
141445,Pepe Vargas,pt,RS,não
73486,Pompeo de Mattos,pdt,RS,abstenção
160641,Professora Marcivania,pt,AP,não
148134,Professor Victório Galli,psc,MT,sim
178951,Rafael Motta,pros,RN,sim
74216,Raimundo Gomes de Matos,psdb,CE,sim
178998,Raquel Muniz,psc,MG,sim
74161,Reginaldo Lopes,pt,MG,não
178960,Remídio Monai,pr,RR,sim
178989,Renata Abreu,ptn,SP,sim
141527,Renato Molling,pp,RS,sim
160654,Renzo Braz,pp,MG,sim
73788,Ricardo Barros,pp,PR,sim
160655,Ricardo Izar,psd,SP,sim
178920,Ricardo Teobaldo,ptb,PE,não
141472,Ricardo Tripoli,psdb,SP,sim
152610,Roberto Alves,prb,SP,sim
73674,Roberto Balestra,pp,GO,sim
141529,Roberto Britto,pp,BA,não
178995,Roberto Góes,pdt,AP,não
178944,Roberto Sales,prb,RJ,sim
178840,Rocha,psdb,AC,sim
141531,Rodrigo de Castro,psdb,MG,sim
74693,Rodrigo Maia,dem,RJ,sim
178926,Rodrigo Martins,psb,PI,sim
178897,Rodrigo Pacheco,pmdb,MG,sim
