"Dim_1","Dim_2","novo_nome","destaque_partido"
-0.171541831824695,-0.259631248562803,"Celso Maldaner-pmdb/SC","pmdb"
-0.145333398594128,-0.189594337663629,"Celso Pansera-pmdb/RJ","pmdb"
-0.236409690807763,-0.16101975037262,"Celso Russomanno-prb/SP","outros"
-0.0859706042346246,-0.256173917396351,"César Halum-prb/TO","outros"
0.210173758151316,0.165303726085815,"César Messias-psb/AC","outros"
-0.0646354035695072,-0.120879270602339,"Cesar Souza-psd/SC","outros"
-0.0125214516503355,0.99479039841984,"Chico Alencar-psol/RJ","psol"
-0.629508553980126,0.300733184506946,"Chico D Angelo-pt/RJ","pt"
-0.571109368326646,0.459844152616817,"Chico Lopes-pcdob/CE","outros"
-0.14631625064776,0.333974075608349,"Christiane de Souza Yared-ptn/PR","outros"
-0.0077941052211151,-0.137736402250538,"Cícero Almeida-prtb/AL","outros"
-0.0138816432046493,-0.00516907919645016,"Cícero Almeida-psd/AL","outros"
0.106608866895755,0.268870780271961,"Clarissa Garotinho-pr/RJ","outros"
0.263941073604069,-0.132230371500369,"Claudio Cajado-dem/BA","outros"
-0.28671668643492,-0.108844167004752,"Cleber Verde-prb/MA","outros"
0.00529707431031066,0.040325657458814,"Conceição Sampaio-pp/AM","outros"
0.56404009992569,0.0325846234023154,"Covatti Filho-pp/RS","outros"
0.405330751447474,-0.0263877686024176,"Cristiane Brasil-ptb/RJ","outros"
-0.150774246305854,0.0559699728742027,"Dagoberto-pdt/MS","outros"
-0.177583004112241,0.173254869904824,"Damião Feliciano-pdt/PB","outros"
0.0481416049916502,-0.176878221423145,"Dâmina Pereira-pmn/MG","outros"
-0.593974013544708,0.510299783340656,"Daniel Almeida-pcdob/BA","outros"
0.727423640071274,0.219453166594804,"Daniel Coelho-psdb/PE","psdb"
-0.223119402986474,-0.339741701845881,"Daniel Vilela-pmdb/GO","pmdb"
0.153456962943643,-0.160068313179824,"Danilo Forte-pmdb/CE","pmdb"
0.0110354573563935,0.0126874306582677,"Danilo Forte-psb/CE","outros"
-0.0519310132085706,-0.247029775732207,"Danrlei de Deus Hinterholz-psd/RS","outros"
-0.150256900261229,-0.101740367577989,"Darcísio Perondi-pmdb/RS","pmdb"
-0.614430363346342,0.539934645508619,"Davidson Magalhães-pcdob/BA","outros"
-0.51788243762854,0.267618206016217,"Décio Lima-pt/SC","pt"
-0.163232422240886,-0.252812779064604,"Delegado Éder Mauro-psd/PA","outros"
-0.291256748912903,-0.252274667415808,"Delegado Edson Moreira-ptn/MG","outros"
0.648891142275006,0.0238576445237989,"Delegado Waldir-psdb/GO","psdb"
0.000115682106705699,0.00568817342441044,"Deley-psc/RJ","outros"
0.225686642120463,0.207123479751028,"Deley-ptb/RJ","outros"
-0.101274261435592,-0.225740735554847,"Diego Andrade-psd/MG","outros"
-0.172483800110319,-0.163349966986481,"Diego Garcia-phs/PR","outros"
-0.0452452542753626,-0.38625965252268,"Dilceu Sperafico-pp/PR","outros"
0.390992660900367,-0.144361111010567,"Dimas Fabiano-pp/MG","outros"
-0.231498761530684,-0.154756445751952,"Domingos Neto-pros/CE","outros"
0.629251845368512,0.0332941127728493,"Domingos Sávio-psdb/MG","psdb"
-0.151827737192898,-0.315563503896503,"Dr. João-pr/RJ","outros"
-5.00246947916558e-05,-0.00245975067001532,"Dr. Jorge Silva-pdt/ES","outros"
-0.301578205842296,0.0969996300071585,"Dr. Jorge Silva-pros/ES","outros"
0.201346349082948,0.191370695839643,"Dr. Sinval Malheiros-pv/SP","outros"
-0.0893487328031637,-0.264798288641771,"Dulce Miranda-pmdb/TO","pmdb"
-0.142315409212764,-0.362102962845457,"Edinho Bez-pmdb/SC","pmdb"
-0.216959432427736,-0.402725832310104,"Edio Lopes-pmdb/RR","pmdb"
0.0646974679708132,-0.121287449771564,"Edmar Arruda-psc/PR","outros"
0.0282353872831192,0.957720380494491,"Edmilson Rodrigues-psol/PA","psol"
