"Dim.1","Dim.2","nome","partido","uf","id_dep","destaque_partido"
-0.126335612083204,-0.157981993945095,"Cesar Souza","psd","SC"," 73720","outros"
0.139762202462441,0.859328249247406,"Chico Alencar","psol","RJ"," 74171","outros"
-0.622894857304446,0.384055653956723,"Chico D Angelo","pt","RJ","141439","pt"
-0.601837273525268,0.447275732238639,"Chico Lopes","pcdob","CE","141440","outros"
-0.136981929615576,0.408679069027412,"Christiane de Souza Yared","pr","PR","178928","outros"
-0.036919027621369,-0.0492604514904878,"Cícero Almeida","pmdb","AL","178841","pmdb"
0.135836186391009,0.278814132397493,"Clarissa Garotinho","pr","RJ","178939","outros"
0.239219566737719,-0.229976785283581,"Claudio Cajado","dem","BA"," 74537","outros"
-0.3803398740522,-0.135515904695735,"Cleber Verde","prb","MA","141408","outros"
0.0645398449574406,0.151602039347269,"Conceição Sampaio","pp","AM","178848","outros"
0.605954904847427,-0.0440034514193851,"Covatti Filho","pp","RS","178963","outros"
0.445284434846035,-0.0415246479076841,"Cristiane Brasil","ptb","RJ"," 93472","outros"
-0.0772873478538254,0.186680875637734,"Dagoberto","pdt","MS","141411","outros"
-0.139818662406811,0.298069720827773,"Damião Feliciano","pdt","PB"," 74467","outros"
-0.0446198195976719,-0.211967789500413,"Dâmina Pereira","psl","MG","178892","outros"
-0.603415650308157,0.41592025046487,"Daniel Almeida","pcdob","BA"," 74060","outros"
0.782973875950648,0.100233963774378,"Daniel Coelho","psdb","PE","178916","outros"
-0.320147210502325,-0.300791657557287,"Daniel Vilela","pmdb","GO","144523","pmdb"
0.16993269400496,-0.167664743738782,"Danilo Forte","psb","CE"," 62881","outros"
-0.0834780885976743,-0.227836448447448,"Danrlei de Deus Hinterholz","psd","RS","160552","outros"
-0.0957516649393617,-0.0372120469788674,"Darcísio Perondi","pmdb","RS"," 73891","pmdb"
-0.595776731035484,0.420656006818008,"Davidson Magalhães","pcdob","BA","101309","outros"
-0.460575096576976,0.338028467511739,"Décio Lima","pt","SC","141413","pt"
-0.157530135854203,-0.285801512194987,"Delegado Éder Mauro","psd","PA","178908","outros"
-0.34195558840923,-0.362878794485231,"Delegado Edson Moreira","pr","MG","178893","outros"
0.699373582583039,-0.0641798742413654,"Delegado Waldir","pr","GO","164359","outros"
0.364861440809708,0.195903913161583,"Deley","ptb","RJ"," 74172","outros"
-0.19415009792891,-0.24804328381757,"Diego Andrade","psd","MG","160588","outros"
-0.282301862393235,-0.105974496704937,"Diego Garcia","phs","PR","178929","outros"
-0.17806361115583,-0.388538265704692,"Dilceu Sperafico","pp","PR"," 73768","outros"
0.362015569981382,-0.217567297486641,"Dimas Fabiano","pp","MG","160599","outros"
-0.311127181011739,-0.146665179961326,"Domingos Neto","psd","CE","143632","outros"
0.673190341227896,0.0113656467784986,"Domingos Sávio","psdb","MG","160758","outros"
-0.256310411309191,-0.350757221245534,"Dr. João","pr","RJ","178940","outros"
-0.339402854045639,0.0867923098577259,"Dr. Jorge Silva","phs","ES","160643","outros"
0.202939969443983,0.178983593647759,"Dr. Sinval Malheiros","ptn","SP","178830","outros"
-0.156936832635356,-0.185453942057105,"Dulce Miranda","pmdb","TO","178994","pmdb"
-0.0480866766092563,-0.00392652317957971,"Edinho Araújo","pmdb","SP"," 73447","pmdb"
-0.190450177498914,-0.292772360090805,"Edinho Bez","pmdb","SC"," 73793","pmdb"
-0.235101462556385,-0.358169153578148,"Edio Lopes","pr","RR","141417","outros"
0.169019860295072,-0.0743283663216875,"Edmar Arruda","psc","PR","160578","outros"
0.144319476223747,0.792221007834723,"Edmilson Rodrigues","psol","PA","134812","outros"
0.695457962627897,0.163183753692171,"Eduardo Barbosa","psdb","MG"," 74655","outros"
0.852509661813277,-0.0866998782987995,"Eduardo Bolsonaro","psc","SP"," 92346","outros"
0.741190752641717,0.00912503041629344,"Eduardo Cury","psdb","SP","178977","outros"
-0.158332261506622,-0.192302843937258,"Eduardo da Fonte","pp","PE","141421","outros"
0.603740258519378,-0.0204796023397045,"Efraim Filho","dem","PB","141422","outros"
-0.211544624557551,-0.0542462170384818,"Elcione Barbalho","pmdb","PA"," 74075","pmdb"
0.301453210173068,-0.131694337322748,"Eli Corrêa Filho","dem","SP","160532","outros"
0.0483116713948315,-0.262555543364848,"Elizeu Dionizio","psdb","MS","181316","outros"
0.576812259271866,0.464913351182899,"Eliziane Gama","rede","MA","178883","outros"
