"Dim.1";"Dim.2";"nome";"partido";"uf"
0,433859657423807;0,49448029618331;"Eliziane Gama";"s.part.";"MA"
0,553556193046591;-0,0415449811614036;"Elmar Nascimento";"dem";"BA"
-0,687752968047715;0,230331942058289;"Enio Verri";"pt";"PR"
-0,609034875460576;0,572245698491573;"Erika Kokay";"pt";"DF"
0,381997290809642;-0,0484954862059156;"Erivelton Santana";"psc";"BA"
0,0630399626133843;-0,0477668977466718;"Eros Biondini";"ptb";"MG"
0,530327701040991;0,180428001526951;"Esperidião Amin";"pp";"SC"
0,305770495806189;-0,0447235731746031;"Evair de Melo";"pv";"ES"
0,352949349231284;0,22022087492536;"Evandro Gussi";"pv";"SP"
-0,0284628498191315;-0,236940359216759;"Evandro Roman";"psd";"PR"
0,510788895120115;0,0726403965114591;"Expedito Netto";"solidaried";"RO"
-0,0351864788698506;-0,235939445466865;"Ezequiel Fonseca";"pp";"MT"
0,528804360583734;-0,0319127666985446;"Ezequiel Teixeira";"solidaried";"RJ"
-0,279417214067001;0,0930017218860791;"Fabiano Horta";"pt";"RJ"
-0,0927555854378032;-0,213057285113087;"Fábio Faria";"psd";"RN"
0,340621635881735;-0,00336234852616933;"Fabio Garcia";"psb";"MT"
-0,0638829421278427;-0,166002789655855;"Fábio Mitidieri";"psd";"SE"
-0,247314362082523;-0,137463687740576;"Fábio Ramalho";"pv";"MG"
-0,0237871273998841;-0,335364310386921;"Fabio Reis";"pmdb";"SE"
0,719955714880598;0,0506557639050799;"Fábio Sousa";"psdb";"GO"
0,104428529301266;0,0137017703080546;"Fabricio Oliveira";"psb";"SC"
-0,228941511663877;-0,151584860986994;"Fausto Pinato";"prb";"SP"
0,151872041420589;-0,168121787258747;"Felipe Bornier";"psd";"RJ"
0,628831385922227;-0,0132014029933535;"Felipe Maia";"dem";"RN"
-0,0404831905465859;0,0428166115882928;"Félix Mendonça Júnior";"pdt";"BA"
0,224206301313555;0,0872927183836551;"Fernando Coelho Filho";"psb";"PE"
0,25905912823369;0,0061664757225624;"Fernando Francischini";"s.part.";"PR"
-0,0780970879405467;-0,312704925915229;"Fernando Jordão";"pmdb";"RJ"
-0,610454172021425;0,293961700528642;"Fernando Marroni";"pt";"RS"
-0,176053437285131;-0,363796378450167;"Fernando Monteiro";"pp";"PE"
-0,267797402175502;-0,0876128293456494;"Fernando Torres";"psd";"BA"
-0,163034117577589;0,234561506859342;"Flávia Morais";"pdt";"GO"
-0,10230408591351;-0,293191248592943;"Flaviano Melo";"pmdb";"AC"
0,516318671631801;0,436306516893435;"Flavinho";"psb";"SP"
-0,06523782762364;-0,191850306403375;"Francisco Chapadinha";"psd";"PA"
-0,0978252692741362;-0,214960046599273;"Francisco Floriano";"pr";"RJ"
-0,487720371754039;0,189064843779601;"Gabriel Guimarães";"pt";"MG"
0,244004771349089;-0,0995737398340492;"Genecias Noronha";"s.part.";"CE"
0,670221349158556;0,128731918310136;"Geovania de Sá";"psdb";"SC"
-0,0964881190986382;-0,268998902160052;"Geraldo Resende";"pmdb";"MS"
-0,0735108902415949;-0,183795637981923;"Giacobo";"pr";"PR"
0,56632165961389;0,0816982383446032;"Gilberto Nascimento";"psc";"SP"
-0,126849946777939;-0,0462977215735611;"Giovani Cherini";"pdt";"RS"
0,722978219293879;0,0225479613697446;"Giuseppe Vecci";"psdb";"GO"
-0,317835758360975;-0,0586298149315274;"Givaldo Carimbão";"s.part.";"AL"
-0,596719386960489;0,238574681830217;"Givaldo Vieira";"pt";"ES"
0,069427898544626;0,880392865513363;"Glauber Braga";"s.part.";"RJ"
0,260387852437148;0,170879980747262;"Gonzaga Patriota";"psb";"PE"
-0,153482639091617;-0,266727491940536;"Gorete Pereira";"pr";"CE"
-0,114476276703101;-0,304718199849507;"Goulart";"psd";"SP"
-0,0480397143478124;-0,301039039105143;"Guilherme Mussi";"pp";"SP"
0,266199934544007;0,347116899728356;"Heitor Schuch";"psb";"RS"
-0,662135491366843;0,344550514932204;"Helder Salomão";"pt";"ES"
0,703578403646351;0,0423049919945993;"Hélio Leite";"dem";"PA"
-0,71043133504655;0,407115730785692;"Henrique Fontana";"pt";"RS"
0,360748842063131;0,0472921708497586;"Heráclito Fortes";"psb";"PI"
-0,263629575811775;-0,172753351638048;"Herculano Passos";"psd";"SP"
0,206025070815728;-0,114388550488574;"Hermes Parcianello";"pmdb";"PR"
0,0045407319139687;-0,249872707237479;"Heuler Cruvinel";"psd";"GO"
-0,00696153124139684;-0,311630396385219;"Hildo Rocha";"pmdb";"MA"
