"nome";"partido";"uf"
"Laerte Bessa";"pr";"DF"
"Laudivio Carvalho";"pmdb";"MG"
"Lázaro Botelho";"pp";"TO"
"Leandre";"pv";"PR"
"Lelo Coimbra";"pmdb";"ES"
"Leo de Brito";"pt";"AC"
"Leonardo Monteiro";"pt";"MG"
"Leonardo Picciani";"pmdb";"RJ"
"Leonardo Quintão";"pmdb";"MG"
"Leônidas Cristino";"pros";"CE"
"Leopoldo Meyer";"psb";"PR"
"Lincoln Portela";"pr";"MG"
"Lindomar Garçon";"pmdb";"RO"
"Lobbe Neto";"psdb";"SP"
"Lucas Vergilio";"solidaried";"GO"
"Luciana Santos";"pcdob";"PE"
"Luciano Ducci";"psb";"PR"
"Lucio Mosquini";"pmdb";"RO"
"Lúcio Vale";"pr";"PA"
"Lucio Vieira Lima";"pmdb";"BA"
"Luis Carlos Heinze";"pp";"RS"
"Luis Tibé";"ptdob";"MG"
"Luiz Carlos Busato";"ptb";"RS"
"Luiz Carlos Hauly";"psdb";"PR"
"Luiz Carlos Ramos";"psdc";"RJ"
"Luiz Cláudio";"pr";"RO"
"Luiz Couto";"pt";"PB"
"Luiz Fernando Faria";"pp";"MG"
"Luiz Lauro Filho";"psb";"SP"
"Luiz Nishimori";"pr";"PR"
"Luiz Sérgio";"pt";"RJ"
"Luiza Erundina";"psb";"SP"
"Luizianne Lins";"pt";"CE"
"Macedo";"psl";"CE"
"Magda Mofatto";"pr";"GO"
"Major Olimpio";"pdt";"SP"
"Mandetta";"dem";"MS"
"Manoel Junior";"pmdb";"PB"
"Mara Gabrilli";"psdb";"SP"
"Marcelo Aguiar";"dem";"SP"
"Marcelo Álvaro Antônio";"prp";"MG"
"Marcelo Aro";"phs";"MG"
"Marcelo Belinati";"pp";"PR"
"Marcelo Castro";"pmdb";"PI"
"Marcelo Matos";"pdt";"RJ"
"Marcelo Squassoni";"prb";"SP"
"Marcio Alvino";"pr";"SP"
"Márcio Marinho";"prb";"BA"
"Marco Maia";"pt";"RS"
"Marco Tebaldi";"psdb";"SC"
"Marcon";"pt";"RS"
"Marcos Abrão";"pps";"GO"
"Marcos Montes";"psd";"MG"
"Marcos Reategui";"psc";"AP"
"Marcos Rogério";"pdt";"RO"
"Marcos Rotta";"pmdb";"AM"
"Marcos Soares";"pr";"RJ"
"Marcus Pestana";"psdb";"MG"
"Marcus Vicente";"pp";"ES"
"Margarida Salomão";"pt";"MG"
"Maria do Rosário";"pt";"RS"
"Maria Helena";"psb";"RR"
"Mariana Carvalho";"psdb";"RO"
"Marinaldo Rosendo";"psb";"PE"
"Marinha Raupp";"pmdb";"RO"
"Mário Heringer";"pdt";"MG"
"Mário Negromonte Jr.";"pp";"BA"
"Marquinho Mendes";"pmdb";"RJ"
"Marx Beltrão";"pmdb";"AL"
"Maurício Quintella Lessa";"pr";"AL"
"Mauro Lopes";"pmdb";"MG"
"Mauro Mariani";"pmdb";"SC"
"Mauro Pereira";"pmdb";"RS"
"Max Filho";"psdb";"ES"
"Mendonça Filho";"dem";"PE"
"Merlong Solano";"pt";"PI"
"Miguel Haddad";"psdb";"SP"
"Miguel Lombardi";"pr";"SP"
"Milton Monti";"pr";"SP"
"Miro Teixeira";"pros";"RJ"
"Misael Varella";"dem";"MG"
"Missionário José Olimpio";"pp";"SP"
"Moema Gramacho";"pt";"BA"
"Moroni Torgan";"dem";"CE"
"Moses Rodrigues";"pps";"CE"
"Nelson Marchezan Junior";"psdb";"RS"
"Nelson Marquezelli";"ptb";"SP"
"Nelson Meurer";"pp";"PR"
"Newton Cardoso Jr";"pmdb";"MG"
"Nilson Leitão";"psdb";"MT"
"Nilson Pinto";"psdb";"PA"
"Nilto Tatto";"pt";"SP"
"Nilton Capixaba";"ptb";"RO"
"Odelmo Leão";"pp";"MG"
"Odorico Monteiro";"pt";"CE"
"Onyx Lorenzoni";"dem";"RS"
"Orlando Silva";"pcdob";"SP"
"Osmar Bertoldi";"dem";"PR"
"Osmar Serraglio";"pmdb";"PR"
