id_dep,nome,partido,uf,Cobrança.de.cursos.em.universidades.públicas,Coincidência.reeleição,Cota.para.mulheres.legislativo,Distritao,Financiamento.privado.para.partidos,Financiamento.privado.para.partidos.e.candidatos,Infaticídio.indígena,Maioridade.1,Maioridade.2,Pensão,Reeleição,Seguro.Desemprego,Tempo.Mandato,Terceirização,Terrorismo,Transgênico,Tributação.serviços.de.internet,Voto.Facultativo,Voto.impresso,Impeachment
74395,José Otávio Germano,pp,RS,sim,não votou,sim,sim,não,não votou,sim,sim,sim,não,não votou,não,não votou,sim,não,sim,não votou,não votou,sim,sim
74398,Maria do Rosário,pt,RS,não,não,sim,não,não,não,não votou,não,não,sim,não,sim,sim,não,sim,não,sim,não,sim,não
74399,Onyx Lorenzoni,dem,RS,não votou,não,não,não votou,não votou,não votou,não votou,sim,sim,não votou,não votou,não,não,sim,não votou,sim,não votou,sim,sim,sim
74400,Paulo Pimenta,pt,RS,não,não,sim,não,não,não,não,não,não,sim,sim,sim,sim,não,sim,não,não votou,não,sim,não
74419,Gonzaga Patriota,psb,PE,não,não,sim,não,não,não,não votou,sim,sim,não,sim,não,sim,sim,sim,sim,não votou,não,sim,sim
74428,Mendonça Filho,dem,PE,sim,não,não votou,sim,sim,sim,sim,sim,sim,não,não,não,não,não votou,não votou,sim,sim,sim,sim,sim
74439,Wolney Queiroz,pdt,PE,não,sim,não votou,não,não,não,sim,não,não,não,sim,não,não,não,sim,não,não votou,não,sim,não
74445,João Castelo,psdb,MA,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,não,sim,sim,não,sim,sim
74449,Pedro Fernandes,ptb,MA,não votou,não,não,não,sim,sim,sim,não,não,sim,sim,sim,não,não,não,sim,não,sim,sim,não
74457,Moroni Torgan,dem,CE,sim,não,sim,sim,sim,não,sim,sim,sim,não,sim,não,não,não,não votou,sim,não,sim,sim,sim
74459,Átila Lira,psb,PI,sim,sim,sim,não,sim,sim,sim,não,não,sim,sim,sim,sim,não,sim,não,sim,não,sim,sim
74460,Marcelo Castro,pmdb,PI,não votou,sim,não votou,não,não,não,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,não votou,não,não votou,não
74467,Damião Feliciano,pdt,PB,não,não votou,sim,não,não,não,sim,não,não,não,sim,não,não votou,não,sim,não,sim,não votou,sim,não
74474,Carlos Eduardo Cadoca,pcdob,PE,não,não,sim,sim,não,não,não,não,não,sim,sim,sim,não,sim,sim,não,não,sim,não votou,não votou
74535,Benito Gama,ptb,BA,sim,não,não,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,não votou,sim,não,sim,sim
