nome,id_dep,partido
Ricardo Tripoli,141472,psdb
Roberto Alves,152610,prb
Roberto Balestra,73674,pp
Roberto Britto,141529,pp
Roberto Freire,73805,pps
Roberto Góes,178995,pdt
Roberto Sales,178944,prb
Rocha,178840,psdb
Rodrigo Maia,74693,dem
Rodrigo Martins,178926,psb
Rodrigo Pacheco,178897,pmdb
Rodrigo de Castro,141531,psdb
Rogério Marinho,141535,psdb
Rogério Peninha Mendonça,160651,pmdb
Rogério Rosso,160426,psd
Ronaldo Benedet,160515,pmdb
Ronaldo Carletto,178861,pp
Ronaldo Fonseca,160637,pros
Ronaldo Lessa,178845,pdt
Ronaldo Martins,122466,prb
Ronaldo Nogueira,163321,ptb
Roney Nemer,178870,pmdb
Rosangela Gomes,178945,prb
Rossoni,178935,psdb
Rosângela Curado,191684,pdt
Rubens Bueno,73466,pps
Rubens Otoni,74371,pt
Rubens Pereira Júnior,178887,pcdob
Rômulo Gouveia,141536,psd
Samuel Moreira,178990,psdb
Sandes Júnior,74372,pp
Sandro Alex,160621,pps
Saraiva Felipe,74762,pmdb
Sarney Filho,74210,pv
Sergio Souza,178933,pmdb
Sergio Vidigal,178874,pdt
Sergio Zveiter,160612,psd
Shéridan,178961,psdb
Sibá Machado,160613,pt
Silas Brasileiro,74765,pmdb
Silas Câmara,74356,psd
Silas Freire,187008,pr
Silvio Costa,4930,psc
Silvio Torres,73560,psdb
Simone Morgado,178911,pmdb
Simão Sessim,73424,pp
Soraya Santos,178946,pmdb
Stefano Aguiar,92776,psb
Subtenente Gonzaga,177282,pdt
Ságuas Moraes,160630,pt
Sérgio Brito,73808,psd
Sérgio Moraes,141542,ptb
Sérgio Reis,178991,prb
Sóstenes Cavalcante,178947,psd
Tadeu Alencar,178922,psb
Takayama,74385,psc
Tenente Lúcio,178898,psb
Tereza Cristina,178901,psb
Thiago Peixoto,160617,psd
Tia Eron,178862,prb
Tiririca,160976,pr
Toninho Pinheiro,160611,pp
Toninho Wandscheer,178934,pt
Uldurico Junior,178863,ptc
Valadares Filho,141384,psb
Valdir Colatto,74010,pmdb
Valmir Assunção,160610,pt
Valmir Prascidelli,113247,pt
Valtenir Pereira,141552,pros
Vander Loubet,74376,pt
Vanderlei Macris,141553,psdb
Veneziano Vital do Rêgo,178913,pmdb
Vicente Arruda,74308,pros
Vicente Candido,160622,pt
Vicentinho,74283,pt
Vicentinho Júnior,137070,psb
Victor Mendes,178888,pv
Vinicius Carvalho,141555,prb
Vinicius Gurgel,160591,pr
Vitor Lippi,178992,psdb
Vitor Valim,178869,pmdb
Wadih Damous,189593,pt
Wadson Ribeiro,137853,pcdob
Waldenor Pereira,160569,pt
Waldir Maranhão,141558,pp
Walney Rocha,160631,ptb
Walter Alves,178952,pmdb
Walter Ihoshi,141560,psd
Washington Reis,160620,pmdb
Weliton Prado,160518,pt
Wellington Roberto,74043,pr
Weverton Rocha,167493,pdt
William Woo,141563,pv
Wilson Filho,160636,ptb
Wladimir Costa,73930,solidaried
Wolney Queiroz,74439,pdt
Zeca Cavalcanti,178923,ptb
Zeca Dirceu,160592,pt
Zeca do Pt,178902,pt
Zenaide Maia,178949,pr
Zé Carlos,178889,pt
Zé Geraldo,73931,pt
Zé Silva,160632,solidaried
Átila Lins,74090,psd
Átila Lira,74459,psb
