id_dep,nome,partido,uf,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Maioridade 1,Maioridade 2,Pensão, Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Transgênico,Voto Facultativo,Voto impresso
160620,Washington Reis,pmdb,RJ,não votou,sim,sim,não votou,sim,não,não,sim,não votou,sim,não votou,sim,sim,não votou,sim
178950,Antônio Jácome,pmn,RN,sim,não votou,não,sim,não,sim,sim,não,sim,não,não,não votou,sim,sim,sim
178892,Dâmina Pereira,pmn,MG,sim,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,não votou
178959,Hiran Gonçalves,pmn,RR,não,sim,sim,sim,não,sim,sim,sim,sim,sim,não,sim,sim,não,não
136811,Afonso Hamm,pp,RS,sim,não,não,não,não,sim,sim,não,sim,não,sim,sim,sim,não,sim
160527,Aguinaldo Ribeiro,pp,PB,sim,não,sim,sim,sim,não votou,não votou,sim,sim,sim,sim,sim,sim,não,sim
160541,Arthur Lira,pp,AL,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não votou,não votou
178948,Beto Rosado,pp,RN,sim,não,não,sim,sim,sim,sim,não votou,sim,não,sim,sim,sim,não,sim
93083,Cacá Leão,pp,BA,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178848,Conceição Sampaio,pp,AM,sim,sim,sim,sim,não,não,não,não,sim,não,sim,sim,sim,sim,sim
178963,Covatti Filho,pp,RS,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim
73768,Dilceu Sperafico,pp,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
160599,Dimas Fabiano,pp,MG,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim
141421,Eduardo da Fonte,pp,PE,não,sim,não votou,não votou,não votou,sim,sim,sim,não votou,sim,não votou,sim,não votou,não votou,não votou
160649,Esperidião Amin,pp,SC,não,não,sim,não,não,sim,sim,não,sim,não,sim,sim,sim,não,sim
178904,Ezequiel Fonseca,pp,MT,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
92699,Fernando Monteiro,pp,PE,sim,não votou,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não votou,sim
160667,Guilherme Mussi,pp,SP,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
67138,Iracema Portella,pp,PI,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,não votou,sim
74847,Jair Bolsonaro,pp,RJ,sim,não,sim,sim,sim,sim,sim,não,sim,não,sim,não votou,sim,não,sim
160570,Jerônimo Goergen,pp,RS,não votou,sim,não,sim,sim,sim,sim,não,sim,não,não votou,sim,sim,não votou,sim
74388,Jorge Boeira,pp,SC,não,não votou,não,não,não,sim,sim,não,sim,não,não,não,sim,sim,não votou
74395,José Otávio Germano,pp,RS,não votou,sim,sim,não,não votou,sim,sim,não,não votou,não,não votou,sim,sim,não votou,sim
74253,Julio Lopes,pp,RJ,não,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
141480,Lázaro Botelho,pp,TO,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim
73483,Luis Carlos Heinze,pp,RS,não,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,não,sim
141487,Luiz Fernando Faria,pp,MG,sim,sim,sim,sim,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,não,sim
178932,Marcelo Belinati,pp,PR,não,não,sim,não,não,sim,sim,não,sim,não,não,não,não,sim,sim
74235,Marcus Vicente,pp,ES,não votou,não,sim,sim,sim,sim,sim,sim,sim,não,não votou,sim,sim,não,sim
178858,Mário Negromonte Jr.,pp,BA,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,não,sim
160561,Missionário José Olimpio,pp,SP,sim,abstenção,sim,sim,não,sim,sim,não,sim,não,sim,sim,sim,sim,sim
