partido,nome_votacao,orientacao_partido
prtb,Voto impresso,sim
ptc,Voto impresso,sim
psl,Voto impresso,sim
ptdob,Voto impresso,sim
psd,Voto impresso,sim
pr,Voto impresso,sim
psb,Voto impresso,sim
dem,Voto impresso,sim
pdt,Voto impresso,sim
solidaried,Voto impresso,sim
pcdob,Voto impresso,sim
pros,Voto impresso,sim
pps,Voto impresso,sim
pv,Voto impresso,sim
psol,Voto impresso,sim
pmdb,Seguro Desemprego,sim
pp,Seguro Desemprego,sim
ptb,Seguro Desemprego,sim
psc,Seguro Desemprego,sim
phs,Seguro Desemprego,sim
pen,Seguro Desemprego,sim
pt,Seguro Desemprego,sim
psdb,Seguro Desemprego,não
prb,Seguro Desemprego,sim
ptn,Seguro Desemprego,sim
pmn,Seguro Desemprego,sim
prp,Seguro Desemprego,sim
psdc,Seguro Desemprego,sim
prtb,Seguro Desemprego,sim
ptc,Seguro Desemprego,sim
psl,Seguro Desemprego,sim
ptdob,Seguro Desemprego,sim
psd,Seguro Desemprego,sim
pr,Seguro Desemprego,sim
psb,Seguro Desemprego,não
dem,Seguro Desemprego,não
pdt,Seguro Desemprego,não
solidaried,Seguro Desemprego,não
pcdob,Seguro Desemprego,sim
pros,Seguro Desemprego,sim
pps,Seguro Desemprego,não
pv,Seguro Desemprego,liberado
psol,Seguro Desemprego,não
pmdb,Tributação serviços de internet,sim
pp,Tributação serviços de internet,sim
ptb,Tributação serviços de internet,sim
psc,Tributação serviços de internet,sim
phs,Tributação serviços de internet,sim
pen,Tributação serviços de internet,sim
pt,Tributação serviços de internet,sim
psdb,Tributação serviços de internet,sim
prb,Tributação serviços de internet,sim
ptn,Tributação serviços de internet,sim
pmn,Tributação serviços de internet,sim
prp,Tributação serviços de internet,sim
psdc,Tributação serviços de internet,sim
prtb,Tributação serviços de internet,sim
ptc,Tributação serviços de internet,sim
psl,Tributação serviços de internet,sim
ptdob,Tributação serviços de internet,sim
pr,Tributação serviços de internet,sim
psd,Tributação serviços de internet,sim
psb,Tributação serviços de internet,sim
dem,Tributação serviços de internet,sim
pdt,Tributação serviços de internet,não
solidaried,Tributação serviços de internet,sim
pcdob,Tributação serviços de internet,não
pros,Tributação serviços de internet,liberado
pps,Tributação serviços de internet,liberado
pv,Tributação serviços de internet,sim
psol,Tributação serviços de internet,não
pmdb,Pensão,sim
pp,Pensão,sim
ptb,Pensão,sim
psc,Pensão,sim
