id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso
178839,Jéssica Sales,pmdb,AC,sim,sim,não votou,não votou,não votou,não votou,sim,sim,sim,sim,não votou,sim,sim,não votou,não votou,sim,não votou,não,não votou
178894,Laudivio Carvalho,pmdb,MG,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim
141562,Lelo Coimbra,pmdb,ES,não,sim,sim,não,sim,não,sim,não,não,sim,sim,não,sim,sim,sim,não votou,não,sim,sim
74254,Leonardo Picciani,pmdb,RJ,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não votou,sim,não votou
141482,Leonardo Quintão,pmdb,MG,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,não,sim
141483,Lindomar Garçon,pmdb,RO,não votou,sim,não votou,sim,sim,sim,não votou,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não votou
178954,Lucio Mosquini,pmdb,RO,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não votou,sim,sim
94931,Lucio Vieira Lima,pmdb,BA,não votou,não votou,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,não votou,sim,sim,não votou,não votou
141490,Manoel Junior,pmdb,PB,não votou,não votou,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim
74460,Marcelo Castro,pmdb,PI,não votou,sim,não votou,não,não,não,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,não votou,não,não votou
178850,Marcos Rotta,pmdb,AM,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,não votou,sim,sim
74177,Marinha Raupp,pmdb,RO,não votou,sim,sim,não,sim,não,sim,não,não,sim,sim,não votou,sim,não,sim,não votou,não votou,não,sim
181315,Marquinho Mendes,pmdb,RJ,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim
178843,Marx Beltrão,pmdb,AL,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não,não,sim,sim,sim,sim,sim,não votou,sim,sim
74749,Mauro Lopes,pmdb,MG,sim,não votou,não,sim,sim,sim,sim,sim,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,não votou,sim
141507,Mauro Mariani,pmdb,SC,sim,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim
124411,Mauro Pereira,pmdb,RS,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,não,não,sim
178896,Newton Cardoso Jr,pmdb,MG,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,sim,sim,sim,sim,sim,não,sim,sim,não,não
73463,Osmar Serraglio,pmdb,PR,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não votou,sim,não votou,sim,sim,sim,sim,sim,não votou,não votou
73692,Osmar Terra,pmdb,RS,não votou,sim,sim,não votou,não votou,não votou,sim,não,não,sim,não votou,sim,não votou,não,sim,não votou,sim,não,sim
74812,Pedro Chaves,pmdb,GO,não votou,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178897,Rodrigo Pacheco,pmdb,MG,sim,não votou,não,sim,sim,não,sim,não votou,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,não votou,sim
160651,Rogério Peninha Mendonça,pmdb,SC,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,não,sim
160515,Ronaldo Benedet,pmdb,SC,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
178870,Roney Nemer,pmdb,DF,não,sim,sim,sim,sim,não,sim,sim,sim,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim
74762,Saraiva Felipe,pmdb,MG,sim,sim,sim,não votou,sim,não votou,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178933,Sergio Souza,pmdb,PR,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,não votou
74765,Silas Brasileiro,pmdb,MG,sim,sim,não,não votou,não votou,não votou,sim,não votou,sim,não votou,não votou,não votou,sim,sim,sim,sim,sim,sim,sim
178911,Simone Morgado,pmdb,PA,sim,sim,sim,não,não,não,sim,não,não,sim,sim,sim,sim,não votou,sim,sim,sim,não,sim
178946,Soraya Santos,pmdb,RJ,não votou,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,não votou,não votou,sim
74010,Valdir Colatto,pmdb,SC,sim,não,sim,não votou,não votou,não votou,sim,sim,sim,sim,não votou,sim,sim,sim,não,sim,sim,não,sim
178913,Veneziano Vital do Rêgo,pmdb,PB,não,sim,sim,sim,sim,sim,não votou,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim
178869,Vitor Valim,pmdb,CE,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim,não,sim,não,sim,não votou,sim,sim,sim
178952,Walter Alves,pmdb,RN,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
160620,Washington Reis,pmdb,RJ,sim,não votou,sim,sim,não votou,sim,não votou,não,não,sim,não votou,sim,não votou,sim,sim,sim,não votou,não votou,sim
178950,Antônio Jácome,pmn,RN,não,sim,não votou,não,sim,não,sim,sim,sim,não,sim,não,não,não votou,sim,sim,sim,sim,sim
178892,Dâmina Pereira,pmn,MG,sim,sim,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,não votou
178959,Hiran Gonçalves,pmn,RR,sim,não,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não votou,não,não
136811,Afonso Hamm,pp,RS,sim,sim,não,não,não,não,sim,sim,sim,não,sim,não,sim,sim,não,sim,sim,não,sim
160527,Aguinaldo Ribeiro,pp,PB,sim,sim,não,sim,sim,sim,não,não votou,não votou,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
160541,Arthur Lira,pp,AL,sim,não votou,não,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não,sim,sim,sim,não,não votou,não votou
