tipo,num_pro,ano,id_votacao,resumo,data,hora,objetivo,sessao,partido,orientacao_partido,nome_votacao
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,DEM,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PtbProsPsl,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PRB,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PDT,não,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,Solidaried,liberado,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PCdoB,não,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PSC,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PPS,liberado,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PSOL,não,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PV,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,Repr.REDE,não,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,Repr.PEN,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,Repr.PMB,não,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,Minoria,não,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,GOV.,sim,Terceirização total 2017
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PmdbPpPtbPscPhsPen,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PT,não,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PSDB,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PrbPtnPmnPrpPsdcPrtbPtcPslPtdoB,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PR,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PSD,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PSB,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,DEM,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PDT,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,Solidaried,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PCdoB,não,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PROS,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PPS,sim,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,PV,não,Infaticídio indígena
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,Repr.PSOL,não,Infaticídio indígena
