partido,nome_votacao,orientacao_partido
pmdb,Cota para mulheres legislativo,liberado
pr,Cota para mulheres legislativo,sim
pdt,Cota para mulheres legislativo,sim
pcdob,Cota para mulheres legislativo,sim
psb,Cota para mulheres legislativo,liberado
solidaried,Cota para mulheres legislativo,liberado
ptn,Cota para mulheres legislativo,liberado
pv,Cota para mulheres legislativo,sim
psdc,Cota para mulheres legislativo,liberado
pps,Cota para mulheres legislativo,sim
phs,Cota para mulheres legislativo,liberado
psol,Cota para mulheres legislativo,sim
psl,Cota para mulheres legislativo,liberado
prp,Cota para mulheres legislativo,liberado
pmn,Cota para mulheres legislativo,liberado
prtb,Cota para mulheres legislativo,liberado
ptdob,Cota para mulheres legislativo,liberado
ptc,Cota para mulheres legislativo,liberado
pen,Cota para mulheres legislativo,liberado
prb,Voto impresso,sim
pp,Voto impresso,sim
psd,Voto impresso,sim
psc,Voto impresso,sim
psdb,Voto impresso,sim
pt,Voto impresso,sim
pdt,Voto impresso,sim
ptb,Voto impresso,sim
pros,Voto impresso,sim
pmdb,Voto impresso,sim
pr,Voto impresso,sim
dem,Voto impresso,sim
pcdob,Voto impresso,sim
psb,Voto impresso,sim
solidaried,Voto impresso,sim
ptn,Voto impresso,sim
pv,Voto impresso,sim
psdc,Voto impresso,sim
pps,Voto impresso,sim
pmn,Voto impresso,sim
phs,Voto impresso,sim
psol,Voto impresso,sim
psl,Voto impresso,sim
prp,Voto impresso,sim
prtb,Voto impresso,sim
ptc,Voto impresso,sim
ptdob,Voto impresso,sim
pen,Voto impresso,sim
prb,Seguro Desemprego,sim
pp,Seguro Desemprego,sim
psd,Seguro Desemprego,sim
psc,Seguro Desemprego,sim
psdb,Seguro Desemprego,não
pt,Seguro Desemprego,sim
dem,Seguro Desemprego,não
pdt,Seguro Desemprego,não
pcdob,Seguro Desemprego,sim
ptb,Seguro Desemprego,sim
pros,Seguro Desemprego,sim
pmdb,Seguro Desemprego,sim
pr,Seguro Desemprego,sim
psb,Seguro Desemprego,não
solidaried,Seguro Desemprego,não
ptn,Seguro Desemprego,sim
pv,Seguro Desemprego,liberado
psdc,Seguro Desemprego,sim
pps,Seguro Desemprego,não
pmn,Seguro Desemprego,sim
phs,Seguro Desemprego,sim
psol,Seguro Desemprego,não
psl,Seguro Desemprego,sim
prp,Seguro Desemprego,sim
prtb,Seguro Desemprego,sim
ptc,Seguro Desemprego,sim
ptdob,Seguro Desemprego,sim
pen,Seguro Desemprego,sim
pdt,Tributação serviços de internet,não
prb,Tributação serviços de internet,sim
psd,Tributação serviços de internet,sim
psc,Tributação serviços de internet,sim
pmdb,Tributação serviços de internet,sim
psdb,Tributação serviços de internet,sim
pp,Tributação serviços de internet,sim
pt,Tributação serviços de internet,sim
dem,Tributação serviços de internet,sim
pcdob,Tributação serviços de internet,não
pros,Tributação serviços de internet,liberado
pr,Tributação serviços de internet,sim
ptb,Tributação serviços de internet,sim
psb,Tributação serviços de internet,sim
solidaried,Tributação serviços de internet,sim
ptn,Tributação serviços de internet,sim
pv,Tributação serviços de internet,sim
psdc,Tributação serviços de internet,sim
pps,Tributação serviços de internet,liberado
pmn,Tributação serviços de internet,sim
phs,Tributação serviços de internet,sim
psol,Tributação serviços de internet,não
psl,Tributação serviços de internet,sim
prp,Tributação serviços de internet,sim
prtb,Tributação serviços de internet,sim
ptc,Tributação serviços de internet,sim
ptdob,Tributação serviços de internet,sim
pen,Tributação serviços de internet,sim
prb,Pensão,sim
pp,Pensão,sim
psd,Pensão,sim
psc,Pensão,sim
pt,Pensão,sim
dem,Pensão,não
pdt,Pensão,não
pcdob,Pensão,sim
psdb,Pensão,não
ptb,Pensão,sim
pros,Pensão,sim
pmdb,Pensão,sim
pr,Pensão,sim
psb,Pensão,não
solidaried,Pensão,não
ptn,Pensão,sim
pv,Pensão,liberado
psdc,Pensão,sim
pps,Pensão,não
pmn,Pensão,sim
phs,Pensão,sim
psol,Pensão,não
psl,Pensão,sim
prp,Pensão,sim
prtb,Pensão,sim
pen,Pensão,sim
ptc,Pensão,sim
ptdob,Pensão,sim
psol,Lei trabalhista,não
prb,Lei trabalhista,sim
pp,Lei trabalhista,sim
psd,Lei trabalhista,sim
pen,Lei trabalhista,
psdb,Lei trabalhista,sim
pt,Lei trabalhista,não
dem,Lei trabalhista,sim
pros,Lei trabalhista,sim
pdt,Lei trabalhista,não
pcdob,Lei trabalhista,não
ptn,Lei trabalhista,sim
phs,Lei trabalhista,liberado
pmdb,Lei trabalhista,sim
psc,Lei trabalhista,sim
psb,Lei trabalhista,não
pr,Lei trabalhista,sim
rede,Lei trabalhista,não
ptb,Lei trabalhista,sim
solidaried,Lei trabalhista,não
pmb,Lei trabalhista,
pv,Lei trabalhista,sim
pps,Lei trabalhista,sim
ptdob,Lei trabalhista,sim
psl,Lei trabalhista,sim
prp,Lei trabalhista,
psb,Terrorismo,liberado
prb,Terrorismo,sim
pp,Terrorismo,sim
psd,Terrorismo,liberado
psc,Terrorismo,sim
pmdb,Terrorismo,sim
psdb,Terrorismo,sim
pt,Terrorismo,sim
dem,Terrorismo,sim
pdt,Terrorismo,sim
pcdob,Terrorismo,sim
pros,Terrorismo,sim
pr,Terrorismo,sim
ptb,Terrorismo,sim
solidaried,Terrorismo,sim
ptn,Terrorismo,sim
pv,Terrorismo,sim
psdc,Terrorismo,sim
pps,Terrorismo,sim
pmn,Terrorismo,sim
phs,Terrorismo,sim
psol,Terrorismo,não
psl,Terrorismo,sim
prp,Terrorismo,sim
prtb,Terrorismo,sim
pen,Terrorismo,sim
ptc,Terrorismo,sim
ptdob,Terrorismo,sim
s.part.,Terrorismo,
