id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer
112437,João Marcelo Souza,pmdb,MA,1,-1,-1,1,1,1,-2,1,0,0,1,1,1,-1,1,1,1,1,1,-1,-1,0,0
178839,Jéssica Sales,pmdb,AC,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,0,-1,1,-1,0,-1,1,0
178918,Kaio Maniçoba,pmdb,PE,1,0,0,1,1,1,1,1,0,1,-1,1,0,1,1,-1,1,1,1,0,1,1,-1
74856,Laura Carneiro,pmdb,RJ,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1
141562,Lelo Coimbra,pmdb,ES,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,-1,0,1,1,1,0
74254,Leonardo Picciani,pmdb,RJ,-1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,-1,1,1,-1,1,-1,0,0
141482,Leonardo Quintão,pmdb,MG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,1,1,0
178954,Lucio Mosquini,pmdb,RO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,0
94931,Lucio Vieira Lima,pmdb,BA,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,0
141490,Manoel Junior,pmdb,PB,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1
74460,Marcelo Castro,pmdb,PI,-1,1,-1,0,0,0,1,1,1,-2,1,1,1,1,1,-1,1,1,-1,0,-1,0,-1
