id_dep,nome,partido,uf,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Maioridade 1,Maioridade 2,Pensão, Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Transgênico,Voto Facultativo,Voto impresso
178897,Rodrigo Pacheco,pmdb,MG,-1,0,1,1,0,-1,-1,1,1,1,-1,1,1,-1,1
160651,Rogério Peninha Mendonça,pmdb,SC,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
160515,Ronaldo Benedet,pmdb,SC,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
178870,Roney Nemer,pmdb,DF,1,1,1,1,0,1,1,-1,0,1,1,1,1,1,1
74762,Saraiva Felipe,pmdb,MG,1,1,-1,1,-1,0,0,1,1,1,1,1,1,0,1
178933,Sergio Souza,pmdb,PR,0,1,1,1,1,1,1,1,1,1,0,1,1,1,-1
74765,Silas Brasileiro,pmdb,MG,1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1
178911,Simone Morgado,pmdb,PA,1,1,0,0,0,0,0,1,1,1,1,-1,1,0,1
178946,Soraya Santos,pmdb,RJ,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1
74010,Valdir Colatto,pmdb,SC,0,1,-1,-1,-1,1,1,1,-1,1,1,1,1,0,1
178913,Veneziano Vital do Rêgo,pmdb,PB,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
178869,Vitor Valim,pmdb,CE,1,1,1,1,0,1,1,0,1,0,1,0,-1,1,1
178952,Walter Alves,pmdb,RN,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1
160620,Washington Reis,pmdb,RJ,-1,1,1,-1,1,0,0,1,-1,1,-1,1,1,-1,1
178950,Antônio Jácome,pmn,RN,1,-1,0,1,0,1,1,0,1,0,0,-1,1,1,1
178892,Dâmina Pereira,pmn,MG,1,-1,0,1,1,1,1,1,1,1,1,1,1,0,-1
178959,Hiran Gonçalves,pmn,RR,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0
136811,Afonso Hamm,pp,RS,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1
160527,Aguinaldo Ribeiro,pp,PB,1,0,1,1,1,-1,-1,1,1,1,1,1,1,0,1
160541,Arthur Lira,pp,AL,-1,0,1,1,1,1,1,1,1,1,0,1,1,-1,-1
178948,Beto Rosado,pp,RN,1,0,0,1,1,1,1,-1,1,0,1,1,1,0,1
93083,Cacá Leão,pp,BA,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
178848,Conceição Sampaio,pp,AM,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1
178963,Covatti Filho,pp,RS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
73768,Dilceu Sperafico,pp,PR,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
160599,Dimas Fabiano,pp,MG,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
141421,Eduardo da Fonte,pp,PE,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1
160649,Esperidião Amin,pp,SC,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1
178904,Ezequiel Fonseca,pp,MT,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
92699,Fernando Monteiro,pp,PE,1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,1
160667,Guilherme Mussi,pp,SP,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
67138,Iracema Portella,pp,PI,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1
74847,Jair Bolsonaro,pp,RJ,1,0,1,1,1,1,1,0,1,0,1,-1,1,0,1
160570,Jerônimo Goergen,pp,RS,-1,1,0,1,1,1,1,0,1,0,-1,1,1,-1,1
74388,Jorge Boeira,pp,SC,0,-1,0,0,0,1,1,0,1,0,0,0,1,1,-1
74395,José Otávio Germano,pp,RS,-1,1,1,0,-1,1,1,0,-1,0,-1,1,1,-1,1
74253,Julio Lopes,pp,RJ,0,-2,1,1,1,1,1,1,1,1,1,1,1,0,1
141480,Lázaro Botelho,pp,TO,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1
73483,Luis Carlos Heinze,pp,RS,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1
141487,Luiz Fernando Faria,pp,MG,1,1,1,1,-1,1,1,1,-1,1,1,1,1,0,1
178932,Marcelo Belinati,pp,PR,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1
74235,Marcus Vicente,pp,ES,-1,0,1,1,1,1,1,1,1,0,-1,1,1,0,1
178858,Mário Negromonte Jr.,pp,BA,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1
160561,Missionário José Olimpio,pp,SP,1,-2,1,1,0,1,1,0,1,0,1,1,1,1,1
73781,Nelson Meurer,pp,PR,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
74752,Odelmo Leão,pp,MG,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1
132056,Paulo Maluf,pp,SP,-1,-1,1,1,-1,1,1,1,-1,1,1,1,1,0,-1
141527,Renato Molling,pp,RS,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1
160654,Renzo Braz,pp,MG,1,-1,1,1,1,1,1,1,1,0,1,-1,1,0,-1
73788,Ricardo Barros,pp,PR,0,-1,1,1,1,0,0,1,1,1,0,1,-1,-1,-1
73674,Roberto Balestra,pp,GO,0,1,1,1,-1,1,1,0,1,-1,1,1,1,1,1
141529,Roberto Britto,pp,BA,1,0,1,-1,1,1,1,1,1,1,1,1,1,0,1
178861,Ronaldo Carletto,pp,BA,1,-2,1,1,1,1,1,1,1,1,1,1,1,0,1
74372,Sandes Júnior,pp,GO,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
73424,Simão Sessim,pp,RJ,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1
160611,Toninho Pinheiro,pp,MG,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1
141558,Waldir Maranhão,pp,MA,-1,-1,1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1
178972,Alex Manente,pps,SP,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1
160602,Arnaldo Jordy,pps,PA,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
164360,Carmen Zanotto,pps,SC,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1
178883,Eliziane Gama,pps,MA,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
178849,Hissa Abrahão,pps,AM,0,1,0,0,0,0,0,-1,1,0,0,1,1,1,1
178880,Marcos Abrão,pps,GO,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1
178997,Moses Rodrigues,pps,CE,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1
74048,Raul Jungmann,pps,PE,0,-1,-1,0,-1,0,0,0,0,0,0,1,0,0,-1
73805,Roberto Freire,pps,SP,0,1,0,0,0,0,0,-1,1,0,0,1,1,0,-2
73466,Rubens Bueno,pps,PR,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1
160621,Sandro Alex,pps,PR,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1
141372,Aelton Freitas,pr,MG,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
