,genres,idIMDB,ranking,rating,releaseDate,title
195,Drama,tt0079944,195,8.2,19800417,Stalker
196,Drama,tt0083987,196,8.1,19830225,Gandhi
197,Action,tt0440963,197,8.1,20070803,The Bourne Ultimatum
198,Drama,tt0246578,198,8.1,20011026,Donnie Darko
199,Drama,tt0056801,199,8.1,19630625,8½
200,Thriller,tt0044079,200,8.1,19510630,Strangers on a Train
201,Action,tt0848228,201,8.1,20120504,The Avengers
202,Drama,tt3011894,202,8.2,20140821,Wild Tales
203,Adventure,tt0107290,203,8.1,19930611,Jurassic Park
204,Drama,tt0112471,204,8.1,19950129,Before Sunrise
205,Thriller,tt0114746,205,8.1,19960105,Twelve Monkeys
206,Drama,tt0058946,206,8.2,19670920,The Battle of Algiers
207,Action,tt0088247,207,8.1,19841026,The Terminator
208,Thriller,tt0338564,208,8.1,20040901,Infernal Affairs
209,Drama,tt0073195,209,8.1,19750620,Jaws
210,Action,tt2015381,210,8.1,20140801,Guardians of the Galaxy
211,Comedy,tt0107048,211,8.1,19930212,Groundhog Day
212,Drama,tt0353969,212,8.1,20040623,Memories of Murder
213,Drama,tt0050613,213,8.2,19611122,Throne of Blood
214,Animation,tt0198781,214,8.1,20011102,"Monsters, Inc."
215,Drama,tt1201607,215,8.1,20110715,Harry Potter and the Deathly Hallows: Part 2
216,Drama,tt0083922,216,8.1,19830309,Fanny and Alexander
217,Drama,tt0120382,217,8.1,19980605,The Truman Show
218,Drama,tt0075148,218,8.1,19761203,Rocky
219,Drama,tt0072684,219,8.1,19751218,Barry Lyndon
220,Drama,tt0072890,220,8.1,19750921,Dog Day Afternoon
221,Drama,tt0044706,221,8.1,19520730,High Noon
222,Drama,tt1220719,222,8.1,20081212,Ip Man
223,Drama,tt1504320,223,8.1,20101225,The King's Speech
224,Drama,tt2084970,224,8.1,20141225,The Imitation Game
225,Drama,tt0113247,225,8.1,19960223,La Haine
226,Drama,tt0058461,226,8.1,19670118,A Fistful of Dollars
227,Drama,tt0038787,227,8.1,19460906,Notorious
228,Action,tt0325980,228,8.1,20030709,Pirates of the Caribbean: The Curse of the Black Pearl
229,Animation,tt0092067,229,8.1,20030115,Castle in the Sky
230,Drama,tt0061184,230,8.1,19660622,Who's Afraid of Virginia Woolf?
231,Drama,tt1454029,231,8.1,20110810,The Help
232,Comedy,tt0046250,232,8.1,19530902,Roman Holiday
233,Drama,tt1392214,233,8.1,20130920,Prisoners
234,Drama,tt0048424,234,8.1,19560511,The Night of the Hunter
235,Drama,tt0374546,235,8.1,20040528,"Spring, Summer, Fall, Winter... and Spring"
236,Drama,tt0047528,236,8.1,19560716,La Strada
237,Animation,tt0101414,237,8,19911122,Beauty and the Beast
238,Action,tt1877832,238,8.1,20140523,X-Men: Days of Future Past
239,Drama,tt0114787,239,8.1,19970620,Underground
240,Drama,tt0070511,240,8.1,19731216,Papillon
241,Drama,tt0381681,241,8.1,20040730,Before Sunset
242,Drama,tt0053779,242,8.1,19610419,La Dolce Vita
243,Drama,tt1069238,243,8.1,20090619,Departures
244,Drama,tt0061722,244,8,19671222,The Graduate
245,Drama,tt1954470,245,8.4,20120802,Gangs of Wasseypur
246,Drama,tt0052561,246,8.1,195909,Anatomy of a Murder
247,Drama,tt0169102,247,8.2,20020508,Lagaan
248,Drama,tt0054997,248,8.1,19610925,The Hustler
249,Thriller,tt0038355,249,8.1,19460831,The Big Sleep
250,Drama,tt0118694,250,8.1,20010309,In the Mood for Love
