"id_dep","nome","uf","partido","clust"
178955,"Luiz Cláudio","RO","pr","1"
74041,"Luiz Couto","PB","pt","1"
141487,"Luiz Fernando Faria","MG","pp","1"
178866,"Luizianne Lins","CE","pt","1"
162332,"Luiz Nishimori","PR","pr","1"
74688,"Luiz Sérgio","RJ","pt","1"
178867,"Macedo","CE","pmb","1"
166402,"Magda Mofatto","GO","pr","1"
151965,"Mainha","PI","solidaried","1"
178826,"Major Olimpio","SP","pdt","1"
141490,"Manoel Junior","PB","pmdb","1"
179000,"Marcelo Álvaro Antônio","MG","prp","1"
146788,"Marcelo Aro","MG","phs","1"
74460,"Marcelo Castro","PI","pmdb","1"
76287,"Marcelo Matos","RJ","pdt","1"
118594,"Marcelo Squassoni","SP","prb","1"
178983,"Marcio Alvino","SP","pr","1"
150418,"Márcio Marinho","BA","prb","1"
133373,"Marco Maia","RS","pt","1"
160535,"Marcon","RS","pt","1"
141500,"Marcos Montes","MG","psd","1"
178852,"Marcos Reategui","AP","psc","1"
167722,"Marcos Rogério","RO","pdt","1"
178850,"Marcos Rotta","AM","pmdb","1"
178943,"Marcos Soares","RJ","pr","1"
74235,"Marcus Vicente","ES","pp","1"
171619,"Margarida Salomão","MG","pt","1"
74398,"Maria do Rosário","RS","pt","1"
74177,"Marinha Raupp","RO","pmdb","1"
74158,"Mário Heringer","MG","pdt","1"
178858,"Mário Negromonte Jr.","BA","pp","1"
181315,"Marquinho Mendes","RJ","pmdb","1"
178843,"Marx Beltrão","AL","pmdb","1"
74050,"Maurício Quintella Lessa","AL","pr","1"
74749,"Mauro Lopes","MG","pmdb","1"
141507,"Mauro Mariani","SC","pmdb","1"
124411,"Mauro Pereira","RS","pmdb","1"
178985,"Miguel Lombardi","SP","pr","1"
74787,"Milton Monti","SP","pr","1"
178859,"Moema Gramacho","BA","pt","1"
73553,"Nelson Marquezelli","SP","ptb","1"
73781,"Nelson Meurer","PR","pp","1"
178896,"Newton Cardoso Jr","MG","pmdb","1"
74359,"Nilton Capixaba","RO","ptb","1"
178986,"Nilto Tatto","SP","pt","1"
178868,"Odorico Monteiro","CE","pt","1"
178987,"Orlando Silva","SP","pcdob","1"
73463,"Osmar Serraglio","PR","pmdb","1"
73692,"Osmar Terra","RS","pmdb","1"
160556,"Padre João","MG","pt","1"
74319,"Paes Landim","PI","ptb","1"
186775,"Pastor Franklin","MG","pmb","1"
171617,"Paulão","AL","pt","1"
74017,"Paulo Feijó","RJ","pr","1"
160558,"Paulo Freire","SP","pr","1"
74574,"Paulo Magalhães","BA","psd","1"
132056,"Paulo Maluf","SP","pp","1"
74400,"Paulo Pimenta","RS","pt","1"
141488,"Paulo Teixeira","SP","pt","1"
74812,"Pedro Chaves","GO","pmdb","1"
74449,"Pedro Fernandes","MA","ptb","1"
160604,"Pedro Uczai","SC","pt","1"
80920,"Penna","SP","pv","1"
73486,"Pompeo de Mattos","RS","pdt","1"
160641,"Professora Marcivania","AP","pt","1"
178951,"Rafael Motta","RN","pros","1"
74161,"Reginaldo Lopes","MG","pt","1"
178960,"Remídio Monai","RR","pr","1"
178989,"Renata Abreu","SP","ptn","1"
141527,"Renato Molling","RS","pp","1"
73788,"Ricardo Barros","PR","pp","1"
160655,"Ricardo Izar","SP","psd","1"
178920,"Ricardo Teobaldo","PE","ptb","1"
152610,"Roberto Alves","SP","prb","1"
141529,"Roberto Britto","BA","pp","1"
178995,"Roberto Góes","AP","pdt","1"
178944,"Roberto Sales","RJ","prb","1"
178897,"Rodrigo Pacheco","MG","pmdb","1"
160651,"Rogério Peninha Mendonça","SC","pmdb","1"
160426,"Rogério Rosso","DF","psd","1"
141536,"Rômulo Gouveia","PB","psd","1"
160515,"Ronaldo Benedet","SC","pmdb","1"
178861,"Ronaldo Carletto","BA","pp","1"
160637,"Ronaldo Fonseca","DF","pros","1"
178845,"Ronaldo Lessa","AL","pdt","1"
122466,"Ronaldo Martins","CE","prb","1"
163321,"Ronaldo Nogueira","RS","ptb","1"
178870,"Roney Nemer","DF","pmdb","1"
191684,"Rosângela Curado","MA","pdt","1"
178945,"Rosangela Gomes","RJ","prb","1"
74371,"Rubens Otoni","GO","pt","1"
178887,"Rubens Pereira Júnior","MA","pcdob","1"
160630,"Ságuas Moraes","MT","pt","1"
74372,"Sandes Júnior","GO","pp","1"
74762,"Saraiva Felipe","MG","pmdb","1"
74210,"Sarney Filho","MA","pv","1"
73808,"Sérgio Brito","BA","psd","1"
178991,"Sérgio Reis","SP","prb","1"
178933,"Sergio Souza","PR","pmdb","1"
178874,"Sergio Vidigal","ES","pdt","1"
160612,"Sergio Zveiter","RJ","psd","1"
160613,"Sibá Machado","AC","pt","1"
74765,"Silas Brasileiro","MG","pmdb","1"
74356,"Silas Câmara","AM","psd","1"
187008,"Silas Freire","PI","pr","1"
4930,"Silvio Costa","PE","psc","1"
73424,"Simão Sessim","RJ","pp","1"
178911,"Simone Morgado","PA","pmdb","1"
178946,"Soraya Santos","RJ","pmdb","1"
177282,"Subtenente Gonzaga","MG","pdt","1"
74385,"Takayama","PR","psc","1"
178862,"Tia Eron","BA","prb","1"
160976,"Tiririca","SP","pr","1"
160611,"Toninho Pinheiro","MG","pp","1"
178934,"Toninho Wandscheer","PR","pmb","1"
178863,"Uldurico Junior","BA","ptc","1"
160610,"Valmir Assunção","BA","pt","1"
113247,"Valmir Prascidelli","SP","pt","1"
141552,"Valtenir Pereira","MT","pmb","1"
74376,"Vander Loubet","MS","pt","1"
178913,"Veneziano Vital do Rêgo","PB","pmdb","1"
74308,"Vicente Arruda","CE","pros","1"
160622,"Vicente Candido","SP","pt","1"
74283,"Vicentinho","SP","pt","1"
137070,"Vicentinho Júnior","TO","psb","1"
178888,"Victor Mendes","MA","pmb","1"
141555,"Vinicius Carvalho","SP","prb","1"
160591,"Vinicius Gurgel","AP","pr","1"
189593,"Wadih Damous","RJ","pt","1"
137853,"Wadson Ribeiro","MG","pcdob","1"
160569,"Waldenor Pereira","BA","pt","1"
141558,"Waldir Maranhão","MA","pp","1"
160631,"Walney Rocha","RJ","ptb","1"
178952,"Walter Alves","RN","pmdb","1"
141560,"Walter Ihoshi","SP","psd","1"
160620,"Washington Reis","RJ","pmdb","1"
74043,"Wellington Roberto","PB","pr","1"
167493,"Weverton Rocha","MA","pdt","1"
160636,"Wilson Filho","PB","ptb","1"
74439,"Wolney Queiroz","PE","pdt","1"
178923,"Zeca Cavalcanti","PE","ptb","1"
160592,"Zeca Dirceu","PR","pt","1"
178902,"Zeca do Pt","MS","pt","1"
178889,"Zé Carlos","MA","pt","1"
73931,"Zé Geraldo","PA","pt","1"
178949,"Zenaide Maia","RN","pr","1"
178968,"Adelson Barreto","SE","ptb","2"
133374,"Ademir Camilo","MG","pros","2"
178903,"Adilton Sachetti","MT","psb","2"
136811,"Afonso Hamm","RS","pp","2"
73579,"Alberto Fraga","DF","dem","2"
160559,"Alceu Moreira","RS","pmdb","2"
178875,"Alexandre Baldy","GO","psdb","2"
160545,"Alexandre Leite","SP","dem","2"
178833,"Alexandre Serfiotis","RJ","psd","2"
178972,"Alex Manente","SP","pps","2"
141454,"Alfredo Kaefer","PR","psdb","2"
73584,"Antonio Carlos Mendes Thame","SP","psdb","2"
160530,"Antonio Imbassahy","BA","psdb","2"
178950,"Antônio Jácome","RN","pmn","2"
73434,"Arnaldo Faria de Sá","SP","ptb","2"
160602,"Arnaldo Jordy","PA","pps","2"
160600,"Arthur Oliveira Maia","BA","solidaried","2"
178847,"Arthur Virgílio Bisneto","AM","psdb","2"
73655,"Augusto Carvalho","DF","solidaried","2"
160665,"Augusto Coutinho","PE","solidaried","2"
160512,"Aureo","RJ","solidaried","2"
178834,"Bebeto","BA","psb","2"
74535,"Benito Gama","BA","ptb","2"
74040,"Benjamin Maranhão","PB","solidaried","2"
178915,"Betinho Gomes","PE","psdb","2"
74650,"Bonifácio de Andrada","MG","psdb","2"
160589,"Bruna Furlan","SP","psdb","2"
141394,"Bruno Araújo","PE","psdb","2"
178976,"Bruno Covas","SP","psdb","2"
178938,"Cabo Daciolo","RJ","s.part.","2"
178891,"Caio Narcio","MG","psdb","2"
74163,"Carlos Manato","ES","solidaried","2"
74651,"Carlos Melles","MG","dem","2"
74262,"Carlos Sampaio","SP","psdb","2"
164360,"Carmen Zanotto","SC","pps","2"
178876,"Célio Silveira","GO","psdb","2"
178838,"César Messias","AC","psb","2"
74171,"Chico Alencar","RJ","psol","2"
178939,"Clarissa Garotinho","RJ","pr","2"
74537,"Claudio Cajado","BA","dem","2"
178963,"Covatti Filho","RS","pp","2"
93472,"Cristiane Brasil","RJ","ptb","2"
178916,"Daniel Coelho","PE","psdb","2"
164359,"Delegado Waldir","GO","psdb","2"
74172,"Deley","RJ","ptb","2"
160599,"Dimas Fabiano","MG","pp","2"
160758,"Domingos Sávio","MG","psdb","2"
178830,"Dr. Sinval Malheiros","SP","pv","2"
134812,"Edmilson Rodrigues","PA","psol","2"
74655,"Eduardo Barbosa","MG","psdb","2"
92346,"Eduardo Bolsonaro","SP","psc","2"
178977,"Eduardo Cury","SP","psdb","2"
