ideCadastro,comissão,idParlamentar,nomeParlamentar,partido
178932,,5830581,MARCELO BELINATI,PP
74235,,5830562,MARCUS VICENTE,PP
178858,,5830558,MÁRIO NEGROMONTE JR.,PP
160561,,5830782,MISSIONÁRIO JOSÉ OLIMPIO,PP
73781,,5830544,NELSON MEURER,PP
141517,,5830852,PAULO HENRIQUE LUSTOSA,PP
132056,,5830342,PAULO MALUF,PP
141527,,5830450,RENATO MOLLING,PP
160654,,5830452,RENZO BRAZ,PP
73788,,5830357,RICARDO BARROS,PP
73674,,5830602,ROBERTO BALESTRA,PP
178861,,5830566,RONALDO CARLETTO,PP
74372,,5830807,SANDES JÚNIOR,PP
73424,,5830589,SIMÃO SESSIM,PP
160611,,5830792,TONINHO PINHEIRO,PP
141558,,5830393,WALDIR MARANHÃO,PP
160602,,5830744,ARNALDO JORDY,PPS
164360,,5830630,CARMEN ZANOTTO,PPS
178849,,5830728,HISSA ABRAHÃO,PPS
178880,,5830445,MARCOS ABRÃO,PPS
178997,,5830667,MOSES RODRIGUES,PPS
74048,,5830832,RAUL JUNGMANN,PPS
73805,,5830837,ROBERTO FREIRE,PPS
73466,,5830573,RUBENS BUENO,PPS
160621,,5830763,SANDRO ALEX,PPS
178846,,5830771,ALFREDO NASCIMENTO,PR
178937,,5830582,ALTINEU CÔRTES,PR
160551,,5830422,ANDERSON FERREIRA,PR
141513,,5830796,BILAC PINTO,PR
178865,,5830773,CABO SABINO,PR
178829,,5830434,CAPITÃO AUGUSTO,PR
178939,,5830658,CLARISSA GAROTINHO,PR
178940,,5830429,DR. JOÃO,PR
160677,,5830707,FRANCISCO FLORIANO,PR
74383,,5830713,GIACOBO,PR
129618,,5830366,GORETE PEREIRA,PR
141458,,5830780,JOÃO CARLOS BACELAR,PR
160509,,5830670,JORGINHO MELLO,PR
74554,,5830789,JOSÉ ROCHA,PR
141478,,5830785,LAERTE BESSA,PR
74585,,5830687,LINCOLN PORTELA,PR
178955,,5830435,LUIZ CLÁUDIO,PR
162332,,5830410,LUIZ NISHIMORI,PR
166402,,5830735,MAGDA MOFATTO,PR
178943,,5830328,MARCOS SOARES,PR
178985,,5830556,MIGUEL LOMBARDI,PR
74787,,5830520,MILTON MONTI,PR
74017,,5830551,PAULO FEIJÓ,PR
160558,,5830701,PAULO FREIRE,PR
178960,,5830333,REMÍDIO MONAI,PR
187008,,5830836,SILAS FREIRE,PR
160976,,5830378,TIRIRICA,PR
160591,,5830482,VINICIUS GURGEL,PR
74043,,5830395,WELLINGTON ROBERTO,PR
178949,,5830392,ZENAIDE MAIA,PR
178836,,5830326,ALAN RICK,PRB
178831,,5830650,ANDRÉ ABDON,PRB
141383,,5830625,ANTONIO BULHÕES,PRB
73437,,5830451,BETO MANSUR,PRB
178962,,5830302,CARLOS GOMES,PRB
73441,,5830790,CELSO RUSSOMANNO,PRB
160576,,5830525,CÉSAR HALUM,PRB
141408,,5830455,CLEBER VERDE,PRB
66828,,5830338,FAUSTO PINATO,PRB
178971,,5830396,JONY MARCOS,PRB
118594,,5830594,MARCELO SQUASSONI,PRB
150418,,5830454,MÁRCIO MARINHO,PRB
152610,,5830289,ROBERTO ALVES,PRB
178944,,5830540,ROBERTO SALES,PRB
122466,,5830437,RONALDO MARTINS,PRB
178945,,5830662,ROSANGELA GOMES,PRB
178991,,5830603,SÉRGIO REIS,PRB
178862,,5830767,TIA ERON,PRB
133374,,5830803,ADEMIR CAMILO,PROS
74103,,5830847,ARIOSTO HOLANDA,PROS
178906,,5830637,BETO SALAME,PROS
160643,,5830309,DR. JORGE SILVA,PROS
74299,,5830786,LEÔNIDAS CRISTINO,PROS
178951,,5830775,RAFAEL MOTTA,PROS
160637,,5830488,RONALDO FONSECA,PROS
74308,,5830845,VICENTE ARRUDA,PROS
178936,,5830436,ALEXANDRE VALLE,PRP
179000,,5830404,MARCELO ÁLVARO ANTÔNIO,PRP
178903,,5830628,ADILTON SACHETTI,PSB
74459,,5830530,ÁTILA LIRA,PSB
178838,,5830698,CÉSAR MESSIAS,PSB
178905,,5830459,FABIO GARCIA,PSB
178978,,5830493,FLAVINHO,PSB
74419,,5830575,GONZAGA PATRIOTA,PSB
178964,,5830703,HEITOR SCHUCH,PSB
97707,,5830716,HERÁCLITO FORTES,PSB
73926,,5830358,JANETE CAPIBERIBE,PSB
178842,,5830555,JHC,PSB
178917,,5830583,JOÃO FERNANDO COUTINHO,PSB
73714,,5830354,JOSÉ REINALDO,PSB
160607,,5830377,JOSE STÉDILE,PSB
73586,,5830574,JÚLIO DELGADO,PSB
160659,,5830730,KEIKO OTA,PSB
160663,,5830499,LEOPOLDO MEYER,PSB
178931,,5830407,LUCIANO DUCCI,PSB
178982,,5830696,LUIZ LAURO FILHO,PSB
74784,,5830288,LUIZA ERUNDINA,PSB
64960,,5830765,MARIA HELENA,PSB
178919,,5830476,MARINALDO ROSENDO,PSB
160642,,5830387,PASTOR EURICO,PSB
160517,,5830457,PAULO FOLETTO,PSB
178926,,5830636,RODRIGO MARTINS,PSB
92776,,5830746,STEFANO AGUIAR,PSB
178898,,5830759,TENENTE LÚCIO,PSB
178901,,5830732,TEREZA CRISTINA,PSB
141384,,5830408,VALADARES FILHO,PSB
137070,,5830708,VICENTINHO JÚNIOR,PSB
160543,,5830799,ANDRE MOURA,PSC
160578,,5830508,EDMAR ARRUDA,PSC
99654,,5830292,ERIVELTON SANTANA,PSC
74270,,5830514,GILBERTO NASCIMENTO,PSC
178855,,5830324,IRMÃO LAZARO,PSC
67312,,5830699,JÚLIA MARINHO,PSC
178852,,5830524,MARCOS REATEGUI,PSC
148134,,5830388,PROFESSOR VICTÓRIO GALLI,PSC
178998,,5830376,RAQUEL MUNIZ,PSC
74385,,5830674,TAKAYAMA,PSC
178833,,5830747,ALEXANDRE SERFIOTIS,PSD
74090,,5830571,ÁTILA LINS,PSD
178841,,5830797,CÍCERO ALMEIDA,PSD
160552,,5830726,DANRLEI DE DEUS HINTERHOLZ,PSD
141428,,5830349,FÁBIO FARIA,PSD
178969,,5830569,FÁBIO MITIDIERI,PSD
141430,,5830600,FELIPE BORNIER,PSD
160676,,5830806,FERNANDO TORRES,PSD
178907,,5830337,FRANCISCO CHAPADINHA,PSD
178980,,5830382,GOULART,PSD
178981,,5830513,HERCULANO PASSOS,PSD
160596,,5830638,HEULER CRUVINEL,PSD
141389,,5830731,INDIO DA COSTA,PSD
74665,,5830468,JAIME MARTINS,PSD
74273,,5830439,JEFFERSON CAMPOS,PSD
178910,,5830502,JOAQUIM PASSARINHO,PSD
74140,,5830760,JOSÉ CARLOS ARAÚJO,PSD
160619,,5830570,JOSÉ NUNES,PSD
141500,,5830537,MARCOS MONTES,PSD
160655,,5830479,RICARDO IZAR,PSD
160426,,5830553,ROGÉRIO ROSSO,PSD
141536,,5830776,RÔMULO GOUVEIA,PSD
73808,,5830291,SÉRGIO BRITO,PSD
74356,,5830401,SILAS CÂMARA,PSD
178875,,5830373,ALEXANDRE BALDY,PSDB
141454,,5830645,ALFREDO KAEFER,PSDB
73584,,5830802,ANTONIO CARLOS MENDES THAME,PSDB
160530,,5830702,ANTONIO IMBASSAHY,PSDB
178847,,5830441,ARTHUR VIRGÍLIO BISNETO,PSDB
178915,,5830545,BETINHO GOMES,PSDB
74650,,5830755,BONIFÁCIO DE ANDRADA,PSDB
160589,,5830665,BRUNA FURLAN,PSDB
141394,,5830294,BRUNO ARAÚJO,PSDB
178891,,5830543,CAIO NARCIO,PSDB
178876,,5830585,CÉLIO SILVEIRA,PSDB
178916,,5830748,DANIEL COELHO,PSDB
164359,,5830350,DELEGADO WALDIR,PSDB
160758,,5830599,DOMINGOS SÁVIO,PSDB
74655,,5830588,EDUARDO BARBOSA,PSDB
178977,,5830529,EDUARDO CURY,PSDB
178877,,5830415,FÁBIO SOUSA,PSDB
178966,,5830539,GEOVANIA DE SÁ,PSDB
178878,,5830559,GIUSEPPE VECCI,PSDB
4931,,5830526,IZALCI,PSDB
74366,,5830462,JOÃO CAMPOS,PSDB
74445,,5830718,JOÃO CASTELO,PSDB
178856,,5830693,JOÃO GUALBERTO,PSDB
178988,,5830586,JOÃO PAULO PAPA,PSDB
74570,,5830416,JUTAHY JUNIOR,PSDB
74277,,5830804,LOBBE NETO,PSDB
73778,,5830316,LUIZ CARLOS HAULY,PSDB
160565,,5830398,MARA GABRILLI,PSDB
160536,,5830440,MARCO TEBALDI,PSDB
159238,,5830743,MARCUS PESTANA,PSDB
178956,,5830624,MARIANA CARVALHO,PSDB
178827,,5830483,MAX FILHO,PSDB
178984,,5830360,MIGUEL HADDAD,PSDB
160567,,5830428,NELSON MARCHEZAN JUNIOR,PSDB
74352,,5830421,NILSON PINTO,PSDB
141515,,5830554,OTAVIO LEITE,PSDB
178912,,5830538,PEDRO CUNHA LIMA,PSDB
178844,,5830787,PEDRO VILELA,PSDB
74216,,5830549,RAIMUNDO GOMES DE MATOS,PSDB
141472,,5830307,RICARDO TRIPOLI,PSDB
178840,,5830688,ROCHA,PSDB
141531,,5830453,RODRIGO DE CASTRO,PSDB
141535,,5830463,ROGÉRIO MARINHO,PSDB
178990,,5830477,SAMUEL MOREIRA,PSDB
73560,,5830704,SILVIO TORRES,PSDB
141553,,5830332,VANDERLEI MACRIS,PSDB
178992,,5830438,VITOR LIPPI,PSDB
178881,,5830565,ALUISIO MENDES,PSDC
178802,,5830522,LUIZ CARLOS RAMOS,PSDC
178867,,5830605,MACEDO,PSL
74171,,5830653,CHICO ALENCAR,PSOL
134812,,5830604,EDMILSON RODRIGUES,PSOL
152605,,5830397,GLAUBER BRAGA,PSOL
160672,,5830725,JEAN WYLLYS,PSOL
178890,,5830314,ADELMO CARNEIRO LEÃO,PT
160508,,5830319,AFONSO FLORENCE,PT
178973,,5830779,ANA PERUGINI,PT
178974,,5830481,ANDRES SANCHEZ,PT
178837,,5830541,ANGELIM,PT
159237,,5830359,ASSIS CARVALHO,PT
74378,,5830386,ASSIS DO COUTO,PT
73701,,5830660,BENEDITA DA SILVA,PT
141335,,5830714,BETO FARO,PT
160538,,5830655,BOHN GASS,PT
178853,,5830486,CAETANO,PT
141398,,5830561,CARLOS ZARATTINI,PT
141439,,5830298,CHICO D'ANGELO,PT
141413,,5830313,DÉCIO LIMA,PT
132504,,5830348,ENIO VERRI,PT
160575,,5830715,ERIKA KOKAY,PT
129037,,5830611,GABRIEL GUIMARÃES,PT
178872,,5830706,GIVALDO VIEIRA,PT
178873,,5830351,HELDER SALOMÃO,PT
178970,,5830751,JOÃO DANIEL,PT
178857,,5830414,JORGE SOLLA,PT
141464,,5830501,JOSÉ AIRTON CIRILO,PT
178825,,5830505,LEO DE BRITO,PT
74156,,5830402,LEONARDO MONTEIRO,PT
74041,,5830317,LUIZ COUTO,PT
74688,,5830521,LUIZ SÉRGIO,PT
178866,,5830427,LUIZIANNE LINS,PT
133373,,5830634,MARCO MAIA,PT
160535,,5830794,MARCON,PT
171619,,5830442,MARGARIDA SALOMÃO,PT
74398,,5830300,MARIA DO ROSÁRIO,PT
178859,,5830663,MOEMA GRAMACHO,PT
178986,,5830749,NILTO TATTO,PT
178868,,5830301,ODORICO MONTEIRO,PT
160556,,5830781,PADRE JOÃO,PT
171617,,5830375,PAULÃO,PT
74400,,5830669,PAULO PIMENTA,PT
160604,,5830617,PEDRO UCZAI,PT
141445,,5830709,PEPE VARGAS,PT
160641,,5830503,PROFESSORA MARCIVANIA,PT
74161,,5830494,REGINALDO LOPES,PT
74371,,5830485,RUBENS OTONI,PT
160630,,5830560,SÁGUAS MORAES,PT
160610,,5830418,VALMIR ASSUNÇÃO,PT
113247,,5830355,VALMIR PRASCIDELLI,PT
74376,,5830534,VANDER LOUBET,PT
74283,,5830496,VICENTINHO,PT
160569,,5830548,WALDENOR PEREIRA,PT
178889,,5830644,ZÉ CARLOS,PT
73931,,5830518,ZÉ GERALDO,PT
160592,,5830576,ZECA DIRCEU,PT
178902,,5830424,ZECA DO PT,PT
178914,,5830364,ADALBERTO CAVALCANTI,PTB
178968,,5830370,ADELSON BARRETO,PTB
73458,,5830426,ALEX CANZIANI,PTB
160553,,5830609,ANTONIO BRITO,PTB
73434,,5830487,ARNALDO FARIA DE SÁ,PTB
74291,,5830664,ARNON BEZERRA,PTB
74172,,5830564,DELEY,PTB
160640,,5830677,EROS BIONDINI,PTB
160572,,5830621,JORGE CÔRTE REAL,PTB
74351,,5830632,JOSUÉ BENGTSON,PTB
73666,,5830361,JOVAIR ARANTES,PTB
178851,,5830308,JOZI ARAÚJO,PTB
141485,,5830598,LUIZ CARLOS BUSATO,PTB
73553,,5830353,NELSON MARQUEZELLI,PTB
74359,,5830458,NILTON CAPIXABA,PTB
74319,,5830740,PAES LANDIM,PTB
178920,,5830593,RICARDO TEOBALDO,PTB
160631,,5830826,WALNEY ROCHA,PTB
