id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
74090;AtilaLins;Átila Lins;psd;AM;não votou;sim;sim;sim;sim;sim;sim;não votou;sim;não votou;sim;sim;não;sim;sim;não votou;não votou;sim;sim;SIM
74459;AtilaLira;Átila Lira;psb;PI;sim;sim;sim;sim;não;não;sim;sim;não;não;não;sim;sim;sim;sim;sim;não;sim;sim;SIM
73655;AugustoCarvalho;Augusto Carvalho;solidaried;DF;sim;sim;não;não;não;não;sim;não;sim;sim;não;sim;sim;não;não;sim;sim;sim;sim;SIM
160665;AugustoCoutinho;Augusto Coutinho;solidaried;PE;sim;não votou;sim;sim;sim;sim;sim;sim;sim;não;sim;não;não;não;não;não votou;não votou;sim;não votou;SIM
160512;Aureo;Aureo;solidaried;RJ;sim;sim;sim;sim;não;não;sim;sim;sim;não;não votou;sim;sim;não;não;não votou;não votou;sim;não votou;SIM
69871;Bacelar;Bacelar;ptn;BA;sim;sim;sim;sim;não;não;sim;não;não;não;sim;sim;não;sim;sim;não;não;sim;não;NAO
178975;BaleiaRossi;Baleia Rossi;pmdb;SP;sim;sim;sim;não votou;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;SIM
178834;Bebeto;Bebeto;psb;BA;não votou;não votou;não;não;não;não;não;não;não;não;não;sim;sim;não;não;sim;não;não votou;sim;NAO
73701;BeneditadaSilva;Benedita da Silva;pt;RJ;não;sim;sim;não votou;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
74535;BenitoGama;Benito Gama;ptb;BA;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;não;não;não;sim;não;sim;não;SIM
74040;BenjaminMaranhao;Benjamin Maranhão;solidaried;PB;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;abstenção;não;não;não votou;não votou;sim;não votou;SIM
178915;BetinhoGomes;Betinho Gomes;psdb;PE;sim;sim;sim;abstção;não;não;sim;sim;sim;não;sim;sim;sim;não;não;sim;sim;sim;não;SIM
141335;BetoFaro;Beto Faro;pt;PA;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
73437;BetoMansur;Beto Mansur;prb;SP;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;não votou;sim;não votou;não votou;não votou;não votou;SIM
178948;BetoRosado;Beto Rosado;pp;RN;sim;sim;sim;não votou;sim;sim;sim;sim;sim;não;sim;sim;não;não votou;não;sim;não;sim;sim;SIM
178906;BetoSalame;Beto Salame;pros;PA;não votou;sim;sim;sim;não;não;não;não;não;não;sim;sim;sim;sim;sim;sim;não;sim;sim;ABST
141513;BilacPinto;Bilac Pinto;pr;MG;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
160538;BohnGass;Bohn Gass;pt;RS;não;abstção;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
74650;BonifaciodeAndrada;Bonifácio de Andrada;psdb;MG;sim;sim;não;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;não votou;não;não;não;sim;não;SIM
160589;BrunaFurlan;Bruna Furlan;psdb;SP;sim;não votou;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;não;sim;não;sim;não;SIM
178999;Brunny;Brunny;ptc;MG;não;sim;não votou;não;sim;sim;não votou;não;não;não;não;não votou;sim;sim;sim;não;não;sim;não;NAO
141394;BrunoAraujo;Bruno Araújo;psdb;PE;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;abstenção;não votou;não;sim;não;sim;não;SIM
178976;BrunoCovas;Bruno Covas;psdb;SP;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;não;não;não;não;não;sim;não;SIM
178938;CaboDaciolo;Cabo Daciolo;s.part.;RJ;não;não votou;não;não votou;não;não;não;não votou;não;não votou;não;sim;não votou;não;não;não;sim;não votou;não;SIM
178865;CaboSabino;Cabo Sabino;pr;CE;não;sim;não votou;sim;sim;sim;sim;não;não;não;não votou;sim;não;sim;sim;não;sim;sim;sim;SIM
93083;CacaLeao;Cacá Leão;pp;BA;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;sim;sim;ABST
178853;Caetano;Caetano;pt;BA;não;sim;sim;não votou;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
178891;CaioNarcio;Caio Narcio;psdb;MG;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;abstenção;não;não;sim;não;não votou;não;SIM
178829;CapitaoAugusto;Capitão Augusto;pr;SP;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;não;SIM
178958;CarlosAndrade;Carlos Andrade;phs;RR;não votou;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;não votou;não;sim;não;sim;não;não votou;não;SIM
141401;CarlosBezerra;Carlos Bezerra;pmdb;MT;sim;sim;sim;não votou;não;não;sim;sim;não votou;não;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
178962;CarlosGomes;Carlos Gomes;prb;RS;sim;não;sim;sim;sim;sim;sim;não;sim;não;sim;sim;não;sim;sim;sim;não;sim;sim;SIM
178993;CarlosHenriqueGaguim;Carlos Henrique Gaguim;pmdb;TO;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;SIM
74163;CarlosManato;Carlos Manato;solidaried;ES;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;sim;não;sim;sim;SIM
178900;CarlosMarun;Carlos Marun;pmdb;MS;não votou;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
74651;CarlosMelles;Carlos Melles;dem;MG;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;não votou;sim;não;sim;sim;não;SIM
74262;CarlosSampaio;Carlos Sampaio;psdb;SP;não votou;não votou;não votou;sim;sim;sim;sim;sim;não votou;não;sim;sim;sim;não;não;sim;não;sim;não;SIM
141398;CarlosZarattini;Carlos Zarattini;pt;SP;sim;sim;sim;não;não;não;não;não;não;não;não;sim;não votou;sim;sim;sim;não;não votou;não;NAO
164360;CarmenZanotto;Carmen Zanotto;pps;SC;sim;sim;sim;sim;não;não;não;não;sim;não;sim;sim;sim;não;não;não;sim;sim;não;SIM
178876;CelioSilveira;Célio Silveira;psdb;GO;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;abstenção;não;não;sim;não;sim;não;SIM
141405;CelsoMaldaner;Celso Maldaner;pmdb;SC;sim;não votou;sim;sim;não;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;SIM
72912;CelsoPansera;Celso Pansera;pmdb;RJ;não votou;não votou;sim;não votou;não;não;sim;sim;sim;sim;não votou;não;sim;sim;sim;não;sim;nao votou;sim;NAO
73441;CelsoRussomanno;Celso Russomanno;prb;SP;sim;não votou;sim;não votou;sim;sim;sim;não;não votou;não;sim;sim;sim;sim;sim;não;não;sim;não;SIM
160576;CesarHalum;César Halum;prb;TO;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim;sim;sim;sim;sim;não votou;SIM
178838;CesarMessias;César Messias;psb;AC;sim;não votou;não votou;sim;não;não;não votou;não;não votou;não;não votou;não votou;não;não;não;sim;não;sim;sim;NAO
73720;CesarSouza;Cesar Souza;psd;SC;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;não votou;não;SIM
74171;ChicoAlencar;Chico Alencar;psol;RJ;não;não;não;não;não;obstção;obstção;não;não;não;não;sim;sim;não;não;sim;não;sim;não;NAO
141440;ChicoLopes;Chico Lopes;pcdob;CE;não;não;sim;não;não;não;não;não;não;sim;não;sim;sim;sim;sim;não;não;sim;não;NAO
178928;ChristianedeSouzaYared;Christiane de Souza Yared;ptn;PR;não;sim;sim;sim;não;não;não;não;não;não;sim;sim;sim;não;não;não;não;sim;não;SIM
